Iteration	Posterior	Likelihood	Prior	b_long	b_med	b_short	height_bg	height_mol	root_age
108	-126904.8	-127853.5	948.7301	0.008540324	0.1001154	0.8913443	1.5406	0.3987686	48.44877
109	-126936.2	-127885.7	949.5816	0.002492379	0.08312973	0.9143779	1.43541	0.4044734	130.9023
110	-126905.9	-127854.9	948.9659	0.00445988	0.1087963	0.8867438	1.36144	0.4049642	85.21272
111	-126909.4	-127858.5	949.0994	0.00187169	0.05809972	0.9400286	1.392351	0.4001526	94.30705
112	-126899.2	-127848.4	949.1814	0.003537641	0.104653	0.8918094	1.331455	0.4024291	94.71229
113	-126887.8	-127834.5	946.6712	0.026187	0.06204265	0.9117703	1.323522	0.4000315	72.96589
114	-126897.4	-127846.6	949.2431	0.002309481	0.1076279	0.8900626	1.29521	0.3986374	44.85906
115	-126912.6	-127860.4	947.7419	0.01931464	0.0847065	0.8959789	1.535825	0.402379	53.66816
116	-126900.4	-127849.2	948.8059	0.004245024	0.1146955	0.8810594	1.295406	0.4042869	64.53904
117	-126897.1	-127845.9	948.7893	0.004754993	0.1135003	0.8817447	1.189816	0.4051445	86.37038
118	-126887.2	-127836.5	949.2563	0.0007574439	0.1129391	0.8863034	1.503835	0.3949761	51.47179
119	-126931.8	-127880.7	948.8581	0.008663132	0.07396522	0.9173716	1.234661	0.3972593	62.26592
120	-126926	-127875.7	949.6588	0.001811222	0.08095964	0.9172291	1.194513	0.3920578	53.12866
121	-126890.3	-127837	946.7046	0.02783838	0.06975073	0.9024109	1.457105	0.3945823	62.03362
122	-126895	-127839.7	944.6066	0.04145018	0.05355505	0.9049948	1.503784	0.4040551	47.40932
123	-126910.8	-127859.6	948.8682	0.007592668	0.06849748	0.9239099	1.53391	0.408137	94.56067
124	-126907.6	-127857.1	949.4993	0.002424092	0.07218272	0.9253932	1.521882	0.4049366	76.08145
125	-126927.2	-127876.9	949.7673	0.000792487	0.0816768	0.9175307	1.432454	0.3959255	90.98268
126	-126904.5	-127853.7	949.1848	0.006116345	0.08620262	0.907681	1.479241	0.3985062	55.4084
127	-126920.4	-127869.8	949.3675	0.002267478	0.1028999	0.8948326	1.319422	0.40839	67.69714
128	-126921	-127868.9	947.9223	0.01602992	0.099105	0.8848651	1.425619	0.3996229	90.89233
129	-126920.6	-127869.8	949.1606	0.006406844	0.0824403	0.9111529	1.443073	0.4045155	44.88352
130	-126940.8	-127889.7	948.8762	0.008789405	0.07683554	0.9143751	1.496232	0.4002982	89.65426
131	-126906.7	-127854.6	947.9118	0.01752695	0.07512208	0.907351	1.325669	0.3954598	47.98319
132	-126894	-127843.7	949.7062	0.0001284579	0.09772489	0.9021467	1.322634	0.3945543	72.42703
133	-126883.1	-127828.1	945.0527	0.01295657	0.1674351	0.8196083	1.34681	0.3881095	69.83558
134	-126877.7	-127825.7	948.0258	0.01147118	0.1136334	0.8748955	1.481822	0.3895273	95.90741
135	-126894.6	-127843.4	948.738	0.008724786	0.0681453	0.9231299	1.145154	0.3861357	44.08966
136	-126886.3	-127832.4	946.0997	0.004290963	0.1673621	0.8283469	1.366121	0.3814477	102.6727
137	-126874.4	-127824	949.6136	0.001165926	0.07118247	0.9276516	1.205598	0.3881364	73.26187
138	-126891.8	-127840.3	948.5384	0.008252818	0.1089293	0.8828178	1.238099	0.3807165	87.51288
139	-126860.7	-127809.8	949.0962	0.002685157	0.05987684	0.937438	1.326932	0.3850109	66.32576
140	-126894.9	-127842.4	947.5064	0.003209328	0.1462168	0.8505739	1.190723	0.3892722	42.70605
141	-126837.6	-127786.8	949.2136	0.005682862	0.08890454	0.9054126	1.200093	0.3887066	45.01599
142	-126858.5	-127807.1	948.5828	0.0109806	0.07240915	0.9166102	1.372406	0.3887066	82.38082
143	-126840.5	-127789.7	949.1836	0.005959003	0.07706942	0.9169716	1.262101	0.3880415	65.66777
144	-126824.6	-127773.8	949.1478	0.003832606	0.0643411	0.9318263	1.511224	0.3898425	65.61153
145	-126844.4	-127794.2	949.7877	0.0003077361	0.07691118	0.9227811	1.542294	0.3978575	55.75683
