Iteration	Posterior	Likelihood	Prior	b_long	b_med	b_short	height_bg	height_mol	root_age
115	-126339.1	-127288.2	949.0079	0.01104683	0.0583022	0.930651	1.271514	0.6308038	119.9096
116	-126323.2	-127272.2	948.993	0.01270045	0.08542784	0.9018717	1.584573	0.6402064	103.4262
117	-126322.8	-127271.3	948.5037	0.001994589	0.08564978	0.9123556	1.23922	0.6266911	79.99116
118	-126309.2	-127255.4	946.2536	0.0008399559	0.1082818	0.8908783	1.326951	0.6250977	63.39979
119	-126313.4	-127259	945.5428	0.03299413	0.06230118	0.9047047	1.325256	0.624299	151.7873
120	-126297.6	-127242.3	944.7649	0.04292086	0.07928995	0.8777892	1.309445	0.616851	88.73233
121	-126316.4	-127264	947.656	0.002187024	0.1443992	0.8534138	1.385496	0.6066968	147.4089
122	-126312.9	-127261.9	948.9441	0.0008463929	0.1109099	0.8882437	1.368328	0.5991789	88.58407
123	-126332.9	-127283.2	950.349	0.002500859	0.09149898	0.9060002	1.159279	0.5885064	126.7916
124	-126350.5	-127298.3	947.7633	0.00946146	0.1129487	0.8775898	1.360624	0.5992087	86.72584
125	-126356.7	-127303.8	947.1493	0.01245759	0.04273707	0.9448053	1.451659	0.6183454	98.89845
126	-126310.4	-127257.2	946.8211	0.002605601	0.1024404	0.894954	1.362486	0.6111806	67.95501
127	-126349.8	-127299.3	949.5454	0.001265781	0.1001181	0.8986161	1.418434	0.612787	93.76811
128	-126351.5	-127301.4	949.8961	0.00161512	0.1167863	0.8815986	1.419487	0.6077628	121.4047
129	-126339.4	-127288.1	948.753	0.01185866	0.1115982	0.8765431	1.288492	0.6124398	108.486
130	-126355	-127304.9	949.8584	0.003807128	0.06814574	0.9280471	1.456251	0.6071909	105.1328
131	-126335.3	-127285.9	950.6054	0.0009768708	0.08482389	0.9141992	1.46946	0.6247641	116.9857
132	-126337.6	-127287.4	949.8436	0.003216773	0.05928008	0.9375031	1.336823	0.6137723	125.6829
133	-126318	-127266.7	948.7032	0.004778619	0.1351855	0.8600358	1.375667	0.6031437	112.998
134	-126337.5	-127287.4	949.8937	0.002432472	0.0966753	0.9008922	1.325031	0.6144535	101.0718
135	-126360.8	-127309.1	948.3269	0.0007914773	0.1200508	0.8791577	1.428241	0.5972305	84.84635
136	-126352.7	-127301.3	948.5766	0.01878469	0.08179794	0.8994174	1.401025	0.5858497	111.0794
137	-126300.2	-127246.5	946.2955	0.01617853	0.08401014	0.8998113	1.487432	0.5797747	73.84571
138	-126305.9	-127255.7	949.7523	0.0002224948	0.07066065	0.9291169	1.452521	0.5905972	94.37672
139	-126364.5	-127309.4	944.9451	0.02147648	0.1125711	0.8659525	1.38339	0.5913501	72.24258
140	-126359	-127306.3	947.3604	0.02948528	0.09322124	0.8772935	1.348199	0.5879602	115.5362
141	-126349	-127297.3	948.2445	0.01867731	0.06798523	0.9133375	1.241359	0.5977052	104.8337
142	-126351	-127300.8	949.8256	0.001093888	0.1104349	0.8884712	1.234354	0.5851434	103.5322
143	-126352.4	-127301.7	949.3219	0.01046179	0.1029247	0.8866135	1.559729	0.5877367	121.1689
144	-126356.9	-127305.2	948.3461	0.0007097624	0.03797787	0.9613124	1.457641	0.5925892	116.7462
145	-126376.3	-127320	943.713	0.04490992	0.09573054	0.8593595	1.330951	0.5865973	81.34173
146	-126384.1	-127333.6	949.411	0.01030818	0.08505489	0.9046369	1.514835	0.5877012	132.3686
147	-126335.7	-127285.8	950.1008	0.003550603	0.0809191	0.9155303	1.362958	0.5967889	106.2118
148	-126336	-127283.2	947.1705	0.005333806	0.04489562	0.9497706	1.443189	0.6016376	85.38778
149	-126322.7	-127270.8	948.0665	0.0128824	0.1061896	0.880928	1.345294	0.5951586	93.16962
150	-126301.2	-127250.8	949.6111	0.0001679441	0.05308587	0.9467462	1.339698	0.5938854	105.8891
151	-126308.5	-127255.2	946.7252	0.01475048	0.0528244	0.9324251	1.304427	0.5782495	84.42646
152	-126303.4	-127252.3	948.8387	0.004064076	0.1268101	0.8691258	1.279206	0.5670693	102.3394
153	-126304.2	-127253.6	949.3788	0.01196775	0.08118516	0.9068471	1.269204	0.5626356	114.1739
154	-126300.3	-127245.3	944.99	0.002647189	0.1972376	0.8001152	1.284103	0.5574618	124.2005
155	-126319.9	-127268	948.1296	0.01159334	0.1196826	0.868724	1.275944	0.5539197	99.39301
156	-126321.1	-127263.8	942.6888	0.005055463	0.02204496	0.9728996	1.341908	0.5536464	80.42157
157	-126335.4	-127284.5	949.0773	0.002919043	0.06667192	0.930409	1.378674	0.5688153	90.21591
158	-126336.6	-127282.8	946.208	0.01582237	0.04426756	0.9399101	1.202518	0.573976	87.75271
159	-126314.7	-127265.1	950.4242	0.0007907056	0.07050543	0.9287039	1.241245	0.5819704	111.7239
160	-126304.9	-127254.7	949.7899	0.001245082	0.06714283	0.9316121	1.334311	0.5688884	98.2837
161	-126347.4	-127297.3	949.8649	0.006258832	0.07177025	0.9219709	1.332578	0.5713826	128.2971
162	-126315.9	-127266.4	950.5016	0.001471042	0.09231314	0.9062158	1.368589	0.5654426	122.5059
163	-126322.6	-127270.6	948.0306	0.007942438	0.06685677	0.9252008	1.117655	0.554932	83.9045
164	-126288	-127235.9	947.9718	0.02329072	0.08604461	0.8906647	1.343155	0.5541981	107.6371
165	-126293.4	-127242.7	949.34	0.008687024	0.1027402	0.8885728	1.328039	0.5478147	132.2331
166	-126311.4	-127260.6	949.1672	0.00208429	0.1299164	0.8679993	1.326579	0.5472125	109.0218
167	-126348.5	-127297.5	949.0901	0.005159312	0.05576883	0.9390719	1.243278	0.548797	101.92
168	-126374.7	-127324	949.2362	0.006987228	0.0742531	0.9187597	1.197026	0.5547989	96.74417
169	-126376.4	-127326	949.6035	0.001649648	0.0690087	0.9293417	1.253025	0.5557473	95.0087
170	-126349.3	-127296.6	947.3075	0.007906044	0.1374359	0.8546581	1.512649	0.5523985	148.0601
171	-126332.5	-127278.5	945.9745	0.03561562	0.07391727	0.8904671	1.485254	0.5563475	94.73172
172	-126352.5	-127300.8	948.2877	0.01008041	0.1223924	0.8675272	1.435318	0.552841	101.2567
173	-126320.1	-127270.2	950.0939	0.005045825	0.08689176	0.9080624	1.437907	0.5538382	112.4103
174	-126317.9	-127264.7	946.8178	0.003455088	0.1094898	0.8870551	1.46808	0.56546	70.11256
175	-126325.9	-127272.9	946.9763	0.002202455	0.06717818	0.9306194	1.34753	0.5513959	68.60486
176	-126360.5	-127307.2	946.7326	0.03570528	0.07492394	0.8893708	1.396234	0.5565379	114.4852
177	-126370.4	-127320.1	949.7593	0.00203091	0.06944874	0.9285204	1.228979	0.545222	98.1518
178	-126352.2	-127302.1	949.8522	0.00505666	0.1032859	0.8916575	1.227295	0.5444749	112.8714
179	-126344.8	-127293.7	948.885	0.008231162	0.1001946	0.8915742	1.198564	0.5491707	95.527
180	-126356.3	-127305.7	949.3924	0.009366893	0.0757254	0.9149077	1.290469	0.5499706	105.0932
181	-126374.7	-127324.7	949.9616	0.004026224	0.1058144	0.8901594	1.285032	0.5410686	117.6993
182	-126354.1	-127299.9	945.8235	0.03685009	0.1115328	0.8516171	1.202182	0.5331809	106.2837
183	-126364.1	-127314.3	950.176	0.004947234	0.08080559	0.9142472	1.313972	0.5424132	117.418
184	-126351.7	-127301.5	949.8764	0.001052932	0.05509853	0.9438485	1.294901	0.5197539	116.1863
185	-126352.5	-127302.1	949.5351	0.002209412	0.1119051	0.8858855	1.344683	0.5157113	139.1885
186	-126358.7	-127303	944.2604	0.03996639	0.05206569	0.9079679	1.233878	0.521833	87.97233
187	-126357.1	-127307.1	949.9604	0.001220463	0.09224507	0.9065345	1.340285	0.5182541	98.60145
188	-126364.2	-127313.5	949.3506	0.001337728	0.1077809	0.8908814	1.29349	0.5258657	93.77079
189	-126335	-127282.1	947.1037	0.0148969	0.09523742	0.8898657	1.224757	0.5361318	81.20082
190	-126313.9	-127262.9	949.0445	0.01059115	0.06629783	0.923111	1.108266	0.5426098	104.2098
191	-126284.2	-127230.8	946.5659	0.003995943	0.06519807	0.930806	1.474569	0.5380506	67.38356
192	-126303.3	-127251	947.6596	0.007459687	0.08770348	0.9048368	1.246045	0.5387103	77.72072
193	-126287	-127235	948.0308	0.009807706	0.09435741	0.8958349	1.48455	0.5475009	85.0754
194	-126283.3	-127233	949.6454	0.003024108	0.102251	0.8947249	1.449576	0.5432082	99.71381
195	-126281.9	-127226.2	944.341	0.03111731	0.06824727	0.9006354	1.316967	0.535222	72.40529
196	-126298.1	-127243.4	945.2533	0.03612956	0.05249194	0.9113785	1.357213	0.551578	95.82668
197	-126324.9	-127273.1	948.2538	0.007890446	0.1133103	0.8787993	1.36081	0.5473833	90.94773
198	-126307	-127255.7	948.7207	0.007880418	0.1226092	0.8695104	1.576637	0.5553142	105.9911
199	-126296.1	-127244.3	948.1297	0.01244476	0.1016731	0.8858821	1.298842	0.5504371	91.7383
200	-126291.4	-127239.7	948.229	0.006914942	0.07954458	0.9135405	1.132031	0.5308331	82.75108
201	-126278.8	-127227.1	948.2916	0.01441678	0.05367454	0.9319087	1.362073	0.5427348	110.9954
202	-126316.4	-127265.8	949.4377	0.0003040321	0.1238934	0.8758025	1.19533	0.5370788	136.3791
203	-126354.2	-127302.1	947.9819	0.01580482	0.1229802	0.861215	1.162386	0.5429119	127.0107
204	-126360.3	-127309	948.7197	0.0004348187	0.1442865	0.8552786	1.301782	0.5227038	127.9884
205	-126369.4	-127320	950.5816	0.0002387436	0.07138473	0.9283765	1.519333	0.534718	118.564
206	-126362.5	-127312.1	949.6504	0.0002863133	0.1212485	0.8784652	1.442044	0.5466496	106.4053
207	-126348.1	-127297.3	949.18	0.0002115311	0.04835427	0.9514342	0.9675669	0.5503535	103.9045
208	-126315.4	-127264.4	948.9746	0.008521364	0.08090184	0.9105768	1.353636	0.5552968	94.4475
209	-126298.1	-127247.4	949.3389	0.01224709	0.07937595	0.908377	1.266007	0.5586001	114.2436
210	-126291.8	-127242.1	950.2678	0.00261768	0.07082149	0.9265608	1.361519	0.5700816	126.2182
211	-126294.9	-127243.3	948.4224	0.01232531	0.09318049	0.8944942	1.325245	0.5548826	93.53228
212	-126319.3	-127267.9	948.6163	0.00598162	0.05418907	0.9398293	1.327172	0.5556895	96.37215
213	-126292.2	-127241.5	949.3027	0.01068798	0.0817203	0.9075917	1.105884	0.5577888	105.7632
214	-126298.1	-127243.3	945.1841	0.02980951	0.0869103	0.8832802	1.128352	0.558107	77.68022
215	-126328.4	-127276.7	948.3297	0.01556954	0.1060485	0.8783819	1.200782	0.5553559	136.3809
216	-126317	-127265.8	948.7802	0.007020002	0.07378148	0.9191985	1.371121	0.5480467	90.10948
217	-126306.4	-127255.3	948.8882	0.003149644	0.1362503	0.8606001	1.205368	0.5512271	122.5183
218	-126310.8	-127259	948.2584	0.003126343	0.05764023	0.9392334	1.18314	0.5410618	84.77937
219	-126295.3	-127244.2	948.9241	0.008427309	0.05579145	0.9357812	1.190345	0.5443567	106.4821
220	-126323.3	-127271.8	948.4838	0.02005815	0.0827693	0.8971726	1.396188	0.557597	125.9868
221	-126310.3	-127259.8	949.5013	0.001611873	0.1011919	0.8971963	1.364796	0.54506	145.8918
222	-126305.3	-127255.1	949.82	0.002237378	0.06730542	0.9304572	1.347306	0.5544394	100.9403
223	-126270.7	-127219.2	948.5285	0.003529651	0.1393325	0.8571378	1.474191	0.5676339	108.3823
224	-126316.5	-127264.9	948.3952	0.01403273	0.05390922	0.9320581	1.162868	0.5612886	113.5612
225	-126312.3	-127258.1	945.8666	0.04035377	0.07537002	0.8842762	1.308555	0.556077	102.3666
226	-126302.9	-127253	950.0794	0.003851073	0.1014076	0.8947413	1.352324	0.5522074	123.0492
227	-126298.3	-127246.2	947.8412	0.007852194	0.0630616	0.9290862	1.412348	0.5603546	83.08945
228	-126325.8	-127272.7	946.9785	0.02394121	0.1100655	0.8659933	1.303398	0.561594	97.82007
229	-126332.5	-127282.5	950.0176	0.004497677	0.07122303	0.9242793	1.347628	0.5710299	110.7177
230	-126289.4	-127239.5	950.1179	0.005343649	0.0771921	0.9174642	1.387748	0.5465402	120.6036
231	-126307.4	-127256.7	949.2953	0.004656691	0.1188071	0.8765362	1.250341	0.5448993	132.164
232	-126333.9	-127282	948.054	0.004484959	0.08633026	0.9091848	1.421285	0.5534678	78.34329
233	-126344.6	-127291.7	947.1461	0.03063395	0.08791281	0.8814532	1.308106	0.5494587	131.9171
