Iteration	Posterior	Likelihood	Prior	b_long	b_med	b_short	height_bg	height_mol	root_age
165	-126851.9	-127793.7	941.7493	1	0	0	1.23792	0.4883757	53.08795
166	-126885.1	-127826.9	941.7512	1	0	0	1.396665	0.4713606	230.8691
167	-126849.9	-127791.7	941.7479	1	0	0	1.283582	0.4815484	189.2254
168	-126846.9	-127788.6	941.7482	1	0	0	1.352323	0.4786605	138.6899
169	-126859	-127800.7	941.7492	1	0	0	1.570292	0.4855403	51.85586
170	-126879	-127820.8	941.7487	1	0	0	1.348269	0.4978592	160.6733
171	-126870.6	-127812.4	941.7485	1	0	0	1.518838	0.4846232	225.217
172	-126847.1	-127788.9	941.7494	1	0	0	1.319523	0.4968078	194.2651
173	-126857.9	-127799.7	941.7519	1	0	0	1.286892	0.484522	67.30729
174	-126839.6	-127781.3	941.7497	1	0	0	1.298377	0.4888462	215.5536
175	-126874.6	-127816.3	941.7486	1	0	0	1.209992	0.4863382	79.54956
176	-126896.9	-127838.6	941.7535	1	0	0	1.354642	0.475448	215.8281
177	-126891.4	-127833.2	941.751	1	0	0	1.270313	0.4792946	212.847
178	-126847.8	-127789.6	941.7505	1	0	0	1.385437	0.4836798	224.1605
179	-126862.9	-127804.6	941.7501	1	0	0	1.318239	0.4901339	115.8062
180	-126857.3	-127799	941.7487	1	0	0	1.368337	0.4851191	123.0813
181	-126868.6	-127810.3	941.7486	1	0	0	1.34744	0.4822169	151.6363
182	-126872.4	-127814.1	941.7454	1	0	0	1.358968	0.4863424	201.8093
183	-126856.6	-127798.4	941.7439	1	0	0	1.148252	0.4864634	121.8682
184	-126837.9	-127779.6	941.7452	1	0	0	1.239863	0.4740049	203.3671
185	-126868.4	-127810.1	941.7449	1	0	0	1.265328	0.4837405	125.8852
186	-126828.8	-127770.6	941.747	1	0	0	1.339198	0.4801869	192.8
187	-126853.2	-127795	941.7469	1	0	0	1.335334	0.4788015	215.4857
188	-126869.3	-127811.1	941.7492	1	0	0	1.423818	0.4756407	193.4896
189	-126876.7	-127818.5	941.7479	1	0	0	1.242793	0.475724	188.4429
190	-126864.3	-127806.1	941.748	1	0	0	1.301919	0.4782554	207.8994
191	-126852.5	-127794.2	941.7461	1	0	0	1.317882	0.4736685	108.9432
192	-126832.9	-127774.7	941.7453	1	0	0	1.238712	0.4777344	74.07792
193	-126827.7	-127769.4	941.7441	1	0	0	1.280289	0.4684098	230.6662
194	-126830.8	-127772.6	941.7475	1	0	0	1.275579	0.4673546	110.4711
195	-126872.6	-127814.3	941.7484	1	0	0	1.259694	0.4615347	140.0771
196	-126834.6	-127776.4	941.7462	1	0	0	1.277116	0.4679177	194.4493
197	-126839.3	-127781	941.7498	1	0	0	1.368926	0.4677136	127.6052
198	-126871.5	-127813.2	941.7458	1	0	0	1.382784	0.4724484	20.73683
199	-126900.6	-127842.4	941.7461	1	0	0	1.588135	0.4677436	60.36841
200	-126859	-127800.8	941.7473	1	0	0	1.231639	0.4677426	211.3024
201	-126859.8	-127801.5	941.7469	1	0	0	1.367362	0.4736586	132.8265
202	-126823.7	-127765.4	941.7479	1	0	0	1.233917	0.4788602	33.41902
203	-126841.3	-127783.1	941.7481	1	0	0	1.314815	0.4704722	136.9361
204	-126804.7	-127746.5	941.7437	1	0	0	1.322679	0.4721078	216.535
205	-126835.7	-127777.4	941.7453	1	0	0	1.362592	0.4718079	151.4873
206	-126829.4	-127771.1	941.7456	1	0	0	1.379654	0.4711934	175.3942
207	-126848.8	-127790.6	941.7428	1	0	0	1.352668	0.4756365	230.7565
208	-126876	-127817.7	941.7444	1	0	0	1.345258	0.4737445	237.5681
209	-126853.5	-127795.3	941.7439	1	0	0	1.377816	0.47902	15.36035
210	-126847.8	-127789.5	941.7429	1	0	0	1.417565	0.4759898	239.117
211	-126842.5	-127784.3	941.7476	1	0	0	1.408121	0.472396	90.73756
212	-126835	-127776.8	941.7466	1	0	0	1.526574	0.4660874	104.9729
