Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta	hidden_rate	Q[1]	Q[2]	R[1]	R[2]	rate_01	rate_10	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta
430	-6065.269	-6065.405	0.135627	0.00398366	0.020212	0.00330947	0.0167914	-5.52555	-3.90148	-0.1854114	0.001470908	0.00294258	0.00581187	0.00147091	0.00147091	0.002942583	0.005811868	0.571172	0.000166295	0.0954982	0.333163	0.0705488	0.0775592	0.113526	0.124807	-2.65145	-2.55671	0.475729
440	-6065.288	-6065.208	-0.07995029	0.00180714	0.0490904	0.00168703	0.0458275	-6.31601	-3.01409	-0.06877752	0.002246281	0.00376923	0.00411481	0.00224628	0.00224628	0.003769227	0.004114814	0.272343	0.000536767	0.446815	0.280306	0.0708651	0.0906834	0.103988	0.133069	-2.64698	-2.40038	0.3834933
450	-6066.702	-6066.535	-0.1665526	0.0131099	0.0206213	0.0108344	0.0170419	-4.33439	-3.88143	-0.1906452	0.001733165	0.00412824	0.00531634	0.00173317	0.00173317	0.004128244	0.005316342	0.449346	0.00262954	0.380962	0.167062	0.0773599	0.0828269	0.104847	0.112256	-2.55929	-2.491	0.3040308
460	-6066.724	-6067.475	0.7501649	0.00995798	0.0521039	0.00929972	0.0486597	-4.60938	-2.95452	-0.06838946	0.0007968213	0.00383914	0.00596443	0.000796821	0.000796821	0.003839139	0.00596443	0.351484	0.175447	0.20735	0.265719	0.0798055	0.119935	0.107198	0.161101	-2.52816	-2.1208	0.2950818
470	-6067.059	-6069.588	2.529434	0.00104068	0.0636984	0.000631502	0.0386534	-6.86788	-2.7536	-0.4995252	0.0006496732	0.00345364	0.00361629	0.000649673	0.000649673	0.003453639	0.003616291	0.251541	0.019506	0.0107253	0.718228	0.0694435	0.120888	0.0967932	0.168498	-2.66724	-2.11289	0.3320634
480	-6070.203	-6067.113	-3.090182	0.00166176	0.0410225	0.000166167	0.00410204	-6.39988	-3.19363	-2.302637	0.002165993	0.00275984	0.00530009	0.00216599	0.00216599	0.002759838	0.005300093	0.451963	0.276171	0.237264	0.0346021	0.0595304	0.0794117	0.095137	0.12691	-2.82127	-2.53311	0.4688314
490	-6066.907	-6065.41	-1.497326	0.00544212	0.0344062	0.0052258	0.0330386	-5.21359	-3.36952	-0.04056074	0.0008487488	0.00342167	0.00766754	0.000848749	0.000848749	0.003421673	0.007667537	0.309461	0.210314	0.127082	0.353142	0.0698523	0.0983047	0.0898664	0.126471	-2.66137	-2.31968	0.2519407
500	-6066.616	-6069.421	2.80543	0.00937229	0.0653749	0.00328381	0.0229057	-4.67	-2.72762	-1.048753	7.73625e-05	0.00412641	0.00362836	7.73625e-05	7.73625e-05	0.004126412	0.003628358	0.354728	0.0642695	0.365813	0.215189	0.0845787	0.120405	0.346764	0.493648	-2.47007	-2.1169	1.410963
510	-6066.733	-6068.769	2.03549	0.00519023	0.0488991	0.0109977	0.103613	-5.26098	-3.018	0.7509039	0.0006684552	0.0038508	0.00419707	0.000668455	0.000668455	0.003850804	0.004197069	0.154003	0.540849	0.257226	0.0479225	0.0729198	0.111319	0.164743	0.251496	-2.61839	-2.19536	0.8150259
520	-6064.833	-6064.495	-0.3381494	0.000992972	0.0326677	0.000631874	0.020788	-6.91481	-3.42137	-0.4520128	0.001170783	0.00442093	0.00406162	0.00117078	0.00117078	0.004420929	0.004061622	0.243555	0.465293	0.0295197	0.261632	0.0664437	0.0748308	0.10145	0.114256	-2.7114	-2.59253	0.4232113
530	-6066.555	-6066.239	-0.3153122	0.00246491	0.0607951	0.00275757	0.0680133	-6.0056	-2.80025	0.1121951	0.002283261	0.00555217	0.00264182	0.00228326	0.00228326	0.005552171	0.002641819	0.232772	0.657449	0.0438279	0.0659513	0.0688269	0.0945864	0.111338	0.153008	-2.67616	-2.35824	0.4809756
540	-6068.483	-6066.948	-1.534693	0.000334787	0.0517833	0.000114024	0.0176368	-8.00202	-2.96069	-1.077081	0.00257534	0.00418868	0.00258171	0.00257534	0.00257534	0.004188678	0.002581706	0.220267	0.104003	0.173488	0.502242	0.0665143	0.0966764	0.0867015	0.126018	-2.71034	-2.33639	0.2650544
550	-6066.488	-6066.303	-0.185277	0.00173363	0.0462291	0.000747413	0.0199306	-6.35754	-3.07415	-0.8413528	0.001028974	0.00445646	0.00449024	0.00102897	0.00102897	0.004456464	0.004490239	0.0924527	0.204034	0.135112	0.568401	0.0664191	0.100151	0.0884842	0.133422	-2.71177	-2.30108	0.2868403
560	-6068.138	-6064.321	-3.817192	0.00711459	0.0326509	0.00281079	0.0128995	-4.94561	-3.42188	-0.9286808	0.001925442	0.00425402	0.00709107	0.00192544	0.00192544	0.004254017	0.007091066	0.811224	0.127963	0.0514204	0.00939308	0.0724837	0.0705864	0.120722	0.117562	-2.62439	-2.65092	0.5101264
570	-6064.91	-6062.084	-2.825323	0.00241148	0.0521319	0.00136145	0.0294321	-6.02752	-2.95398	-0.5716921	0.001396359	0.0041445	0.00672599	0.00139636	0.00139636	0.004144501	0.006725994	0.30623	0.206479	0.482588	0.0047039	0.0712523	0.0958277	0.105162	0.141433	-2.64153	-2.3452	0.3892725
580	-6068.467	-6067.91	-0.5572888	0.00417545	0.0230571	0.0128244	0.0708174	-5.47853	-3.76978	1.122131	0.0008857581	0.00244239	0.00696004	0.000885758	0.000885758	0.002442389	0.006960044	0.540526	0.194288	0.00952851	0.255657	0.075207	0.0999841	0.133678	0.177718	-2.58751	-2.30274	0.575187
590	-6066.91	-6069.718	2.807387	0.001536	0.0108709	0.00164202	0.0116212	-6.47857	-4.52167	0.06674564	0.002039802	0.00331591	0.00205032	0.0020398	0.0020398	0.003315914	0.00205032	0.803243	0.0353199	0.11223	0.049207	0.0652813	0.0786416	0.0989933	0.119253	-2.72905	-2.54285	0.4163464
600	-6067.392	-6069.257	1.865168	0.00272885	0.0146792	0.0013021	0.00700438	-5.90388	-4.22132	-0.7398982	0.0004373587	0.00325698	0.00475464	0.000437359	0.000437359	0.003256979	0.004754636	0.175609	0.0401394	0.378593	0.405659	0.0744198	0.0858453	0.11332	0.130717	-2.59803	-2.45521	0.4204894
610	-6063.754	-6067.427	3.673188	0.00352174	0.052027	0.00225284	0.0332813	-5.6488	-2.95599	-0.4467651	0.0009532793	0.00397972	0.00282125	0.000953279	0.000953279	0.003979718	0.002821252	0.336143	0.0397981	0.604724	0.0193343	0.06703	0.0975337	0.095	0.138232	-2.70261	-2.32756	0.348736
620	-6065.486	-6062.78	-2.706406	0.00349591	0.0880462	0.00276007	0.0695137	-5.65616	-2.42989	-0.2363384	0.00141449	0.00495873	0.00620554	0.00141449	0.00141449	0.004958734	0.006205536	0.778472	0.0557171	0.121129	0.0446824	0.0739803	0.121496	0.10709	0.175871	-2.60396	-2.10787	0.3698678
630	-6068.985	-6065.518	-3.466407	0.000318999	0.0837713	0.000443198	0.116387	-8.05032	-2.47966	0.3288285	0.001062138	0.00547081	0.00446615	0.00106214	0.00106214	0.005470813	0.004466152	0.250186	0.0141105	0.124696	0.611008	0.0642467	0.112995	0.103729	0.182435	-2.74503	-2.18042	0.4790545
640	-6066.827	-6066.384	-0.4428797	0.00181685	0.0297219	0.00511896	0.0837414	-6.31065	-3.51587	1.03585	0.001178209	0.0039054	0.00474128	0.00117821	0.00117821	0.003905403	0.00474128	0.303938	0.0204954	0.149187	0.526379	0.0657961	0.0950215	0.108359	0.15649	-2.72119	-2.35365	0.4988912
650	-6067.913	-6066.886	-1.026564	0.00245352	0.0881946	0.00123666	0.0444529	-6.01023	-2.42821	-0.6851149	0.001590997	0.00399365	0.00539125	0.001591	0.001591	0.003993654	0.005391249	0.0366255	0.337768	0.102555	0.523052	0.0706926	0.0972535	0.0976427	0.134329	-2.64941	-2.33043	0.3229749
660	-6065.769	-6061.439	-4.329969	0.00181431	0.0778908	0.00141404	0.0607065	-6.31205	-2.55245	-0.2492561	0.002444509	0.00442691	0.00648764	0.00244451	0.00244451	0.004426914	0.006487636	0.881291	0.0343841	0.0712779	0.013047	0.0648605	0.113708	0.0892018	0.156382	-2.73552	-2.17412	0.3186629
670	-6066.702	-6070.84	4.138608	0.00565543	0.0264168	0.00555476	0.0259466	-5.17514	-3.63375	-0.01796009	0.001098651	0.00394634	0.00258802	0.00109865	0.00109865	0.003946339	0.002588025	0.184257	0.149072	0.411115	0.255557	0.0752053	0.0822388	0.106717	0.116698	-2.58753	-2.49813	0.3499585
680	-6066.324	-6065.011	-1.313422	0.00282501	0.0484311	0.00115913	0.0198718	-5.86924	-3.02761	-0.8908407	0.002306038	0.00408312	0.00457249	0.00230604	0.00230604	0.004083117	0.004572488	0.891025	0.0412849	0.0203009	0.0473888	0.059427	0.0763933	0.0979564	0.125923	-2.82301	-2.57186	0.4997728
690	-6066.565	-6069.542	2.976843	0.00558399	0.0282432	0.00413106	0.0208945	-5.18785	-3.5669	-0.3013688	0.001710701	0.00287346	0.00393042	0.0017107	0.0017107	0.00287346	0.003930423	0.32723	0.337841	0.108473	0.226456	0.0672055	0.0962907	0.0897981	0.128661	-2.7	-2.34038	0.2898085
700	-6071.962	-6068.712	-3.249503	0.00385014	0.0161701	0.00750037	0.0315007	-5.55965	-4.12459	0.6668437	0.0006782948	0.00547248	0.00638372	0.000678295	0.000678295	0.005472477	0.006383719	0.0847611	0.119829	0.286951	0.508458	0.0695178	0.0859317	0.107172	0.132477	-2.66617	-2.4542	0.4328539
710	-6067.49	-6066.66	-0.8301683	0.00286449	0.0341111	0.00130395	0.0155278	-5.85536	-3.37813	-0.7869908	0.0008631874	0.00377464	0.00596201	0.000863187	0.000863187	0.003774644	0.005962007	0.344397	0.20307	0.0307421	0.421791	0.0752091	0.0787896	0.130181	0.136379	-2.58748	-2.54097	0.5486536
720	-6068.985	-6066.365	-2.620204	0.000275887	0.0196184	4.05702e-05	0.00288496	-8.19552	-3.93129	-1.916958	0.001265722	0.00441075	0.00299646	0.00126572	0.00126572	0.004410747	0.002996456	0.396563	0.0916891	0.422804	0.088944	0.0672431	0.0756975	0.102855	0.115787	-2.69944	-2.58101	0.4250025
730	-6067.884	-6063.229	-4.654498	0.0032192	0.0381739	0.00414627	0.0491673	-5.73862	-3.2656	0.2530769	0.001775348	0.00481641	0.00729592	0.00177535	0.00177535	0.004816412	0.007295922	0.310605	0.225836	0.12563	0.33793	0.0651868	0.085479	0.0929812	0.121926	-2.7305	-2.45948	0.3551403
740	-6063.214	-6064.678	1.463863	0.00336745	0.0731424	0.00240083	0.0521471	-5.6936	-2.61535	-0.3383402	0.0010367	0.00480044	0.00364791	0.0010367	0.0010367	0.004800445	0.003647912	0.372766	0.0608142	0.0325503	0.533869	0.0682664	0.104559	0.0904583	0.138549	-2.68434	-2.258	0.2814715
750	-6065.295	-6065.95	0.6551001	0.00174621	0.0410756	0.000469532	0.0110446	-6.35031	-3.19234	-1.313467	0.002016976	0.00329087	0.00352967	0.00201698	0.00201698	0.003290869	0.003529669	0.617398	0.0347652	0.13943	0.208406	0.0636486	0.0731686	0.0979641	0.112617	-2.75438	-2.61499	0.4312241
760	-6070.888	-6075.678	4.79078	0.00896972	0.0518742	0.001989	0.0115029	-4.7139	-2.95893	-1.506222	0.0002281741	0.00262392	0.00368875	0.000228174	0.000228174	0.002623925	0.003688746	0.336118	0.484536	0.0856654	0.0936806	0.0760063	0.135168	0.12592	0.223933	-2.57694	-2.00124	0.5048294
770	-6065.494	-6065.603	0.1088735	0.000680331	0.0240859	0.000279856	0.00990781	-7.29293	-3.72613	-0.888303	0.0006915683	0.00430803	0.00375187	0.000691568	0.000691568	0.004308031	0.003751866	0.629145	0.183249	0.0526385	0.134967	0.0697847	0.0770305	0.0989394	0.109212	-2.66234	-2.56355	0.3490937
