Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_10	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
21	1	24.84054	0	24.84054	6.58864	0.550146	0.0103378	19.8601	1.6583	0.0311612	1.88535	-0.597572	-4.57195	1.103367	4.812552e-06	0.000652831	0.00016396	0	0	7.75853e-05	0.000123784	4.81255e-06	4.81255e-06	0.0006528307	0.0001639601	7.758525e-05	0.0001237843	0.243254	0.0291179	0.175376	0.168499	0.293289	0.0904644	0.0553277	0.0555537	0.0136409	0.121892	0.12239	0.0300521	-2.89448	-2.89041	-4.29468	0.7898608
22	0	23.80972	0	23.80972	0.0569545	0.253847	0.141804	0.241509	1.07641	0.601306	-2.8655	-1.37103	-1.95331	1.444655	0.0002266465	7.55428e-05	4.65736e-05	0	0	0.000192545	8.32975e-05	0.000226646	0.000226646	7.554281e-05	4.657357e-05	0.0001925453	8.329749e-05	0.225109	0.341694	0.254875	0.0985389	0.00707404	0.0727096	0.000462477	0.00322817	2.18306	0.000534901	0.00373371	2.52493	-7.67891	-5.73584	0.780728	0.1454861
23	1	26.08066	0	26.08066	0.00824274	0.0317252	0.0285641	0.00781415	0.0300756	0.0270789	-4.79842	-3.45064	-3.5556	-0.05339636	0.0004357677	8.6415e-05	0.000212513	0	0	9.41813e-05	0.00155702	0.000435768	0.000435768	8.641501e-05	0.0002125126	9.418127e-05	0.001557017	0.0476234	0.270327	0.0499907	0.208948	0.295713	0.127398	0.121184	0.229173	0.208783	0.156019	0.29505	0.268799	-2.11045	-1.47328	-1.56646	0.2526697
24	0	22.2944	0	22.2944	0.116828	0.264676	0.0993642	0.0664218	0.150481	0.0564932	-2.14706	-1.32925	-2.30896	-0.5646726	0.001114585	0.000813189	0.000308423	0	0	3.56941e-05	0.000443224	0.00111458	0.00111458	0.0008131894	0.0003084233	3.569406e-05	0.0004432238	0.196345	0.0916763	0.204442	0.126929	0.0738784	0.306729	5.48316	0.00364089	0.0127219	6.42658	0.00426733	0.0149107	1.70168	-5.61553	-4.36443	0.1587598
25	1	27.92473	0	27.92473	0.00388072	0.0694828	0.0102982	0.00204801	0.0366688	0.00543475	-5.55173	-2.66668	-4.57579	-0.6391523	8.60684e-05	4.065e-05	1.53903e-05	0	0	0.000230012	0.000590416	8.60684e-05	8.60684e-05	4.065005e-05	1.539028e-05	0.0002300118	0.0005904162	0.0270701	0.152759	0.320381	0.0415387	0.238121	0.22013	0.222273	0.215829	0.0325319	0.322358	0.313013	0.0471804	-1.50385	-1.53327	-3.42553	0.3717563
26	0	17.50526	0	17.50526	55.2343	4.36402	0.0938765	81.7598	6.45978	0.138959	4.01158	1.47339	-2.36578	0.3922016	0.0002273554	0.000810324	9.85215e-05	0	0	0.00031782	0.00136151	0.000227355	0.000227355	0.0008103243	9.852146e-05	0.0003178197	0.001361508	0.133333	0.00488814	0.183572	0.0669955	0.253408	0.357803	0.478395	0.0234619	0.0457912	0.702549	0.0344551	0.0672468	-0.737318	-3.75238	-3.08366	0.3842786
27	1	24.00958	0	24.00958	0.0969095	0.0103622	0.0107461	0.0433991	0.00464053	0.00481244	-2.33398	-4.56959	-4.53321	-0.8033384	0.0001655075	0.000739462	0.00076468	0	0	0.000514253	3.63164e-06	0.000165507	0.000165507	0.0007394622	0.0007646797	0.0005142529	3.63164e-06	0.19009	0.144386	0.0409935	0.0525608	0.315695	0.256274	0.897303	0.00195061	0.0771773	1.17199	0.00254774	0.100803	-0.108362	-6.23961	-2.56165	0.2670664
28	0	21.49234	0	21.49234	0.0142595	0.00284736	0.0037259	0.0368035	0.00734898	0.00961647	-4.25033	-5.86136	-5.59245	0.9481682	0.000233632	0.000676285	0.000298548	0	0	5.24831e-05	0.00125826	0.000233632	0.000233632	0.0006762851	0.0002985477	5.248311e-05	0.001258257	0.202146	0.00198045	0.267672	0.189209	0.0329623	0.306031	0.0128161	0.366859	2.60862	0.0170749	0.488768	3.47548	-4.35706	-1.00278	0.958822	0.2869116
29	1	25.27854	0	25.27854	0.0426643	0.0394	0.628121	0.356614	0.329329	5.25021	-3.15439	-3.23399	-0.465022	2.12329	0.0007618035	6.47667e-05	6.89916e-05	0	0	0.000121426	0.000480736	0.000761803	0.000761803	6.476672e-05	6.89916e-05	0.0001214261	0.0004807361	0.253953	0.0133338	0.028949	0.0667455	0.456042	0.180977	0.0482872	0.0113191	0.208238	0.0760396	0.0178247	0.327919	-3.03059	-4.48126	-1.56908	0.4540876
30	0	23.12448	0	23.12448	0.00239559	0.123083	0.0142131	0.000901299	0.0463078	0.00534743	-6.03413	-2.0949	-4.25359	-0.9775462	0.0005029434	0.000835531	2.867e-05	0	0	0.000681647	0.000163591	0.000502943	0.000502943	0.0008355311	2.867005e-05	0.0006816466	0.0001635908	0.148482	0.0507092	0.0498017	0.209586	0.0232776	0.518143	2.21792	0.512173	0.150366	2.99176	0.690872	0.20283	0.796569	-0.669094	-1.89468	0.2992925
31	1	24.96654	0	24.96654	0.433107	0.023066	0.0085161	1.43401	0.076371	0.0281966	-0.83677	-3.76939	-4.7658	1.197242	0.0001859709	0.000701523	0.000212491	0	0	1.53007e-05	0.000213355	0.000185971	0.000185971	0.0007015227	0.0002124915	1.530071e-05	0.0002133547	0.149143	0.0181109	0.154605	0.0679595	0.420676	0.189506	0.23156	0.00542923	0.783632	0.669631	0.0157004	2.26613	-1.46292	-5.21596	-0.243816	1.061887
32	0	26.35115	0	26.35115	0.0357348	0.101514	0.489176	0.0357234	0.101482	0.489021	-3.33163	-2.28756	-0.715033	-0.0003178906	5.57228e-05	0.000608805	0.000368433	0	0	0.000382956	0.000567088	5.57228e-05	5.57228e-05	0.0006088046	0.0003684329	0.0003829562	0.0005670882	0.406318	0.0100441	0.168069	0.182922	0.137743	0.0949037	0.00863695	0.77332	0.0625597	0.00902646	0.808194	0.0653809	-4.75171	-0.257063	-2.77163	0.04410978
33	1	20.86579	0	20.86579	0.0107804	0.00137541	0.541496	0.00863377	0.00110153	0.433672	-4.53003	-6.58901	-0.61342	-0.2220459	0.0005221057	0.000295338	0.00127542	0	0	0.00110979	0.000215364	0.000522106	0.000522106	0.0002953381	0.001275424	0.001109794	0.0002153639	0.0697691	0.0463099	0.152531	0.198783	0.36959	0.163017	0.191722	0.105143	0.00243466	0.211679	0.116087	0.00268809	-1.65171	-2.25244	-6.01795	0.09902193
