Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_10	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
240	24.20342	0	24.20342	0.0820534	0.0438503	0.0862684	0.220472	0.117823	0.231798	-2.50038	-3.12697	-2.45029	0.9884014	0.0002597397	0.000247229	9.55827e-05	0	0	0.000333278	0.00120494	0.00025974	0.00025974	0.0002472295	9.558271e-05	0.0003332784	0.001204943	0.032243	0.100363	0.190897	0.133502	0.110287	0.432708	0.0119922	1.17423	0.0295553	0.0671223	6.57241	0.165426	-4.4235	0.160617	-3.52149	1.722263
250	24.14353	0	24.14353	0.0957491	0.00553035	0.000916011	0.133991	0.00773913	0.00128186	-2.34602	-5.1975	-6.99548	0.3360388	0.0004333837	2.05933e-05	0.000431817	0	0	0.00011417	0.000625126	0.000433384	0.000433384	2.059329e-05	0.0004318172	0.0001141697	0.0006251256	0.0882429	0.315638	0.124395	0.022218	0.0508367	0.398669	0.225401	0.0599851	0.788163	0.488034	0.129879	1.70651	-1.48987	-2.81366	-0.238051	0.7725032
260	25.66659	0	25.66659	0.0352867	0.359433	0.0982639	0.139577	1.42174	0.388683	-3.34425	-1.02323	-2.3201	1.375108	0.0002952042	9.11479e-05	0.000347322	0	0	0.000362454	0.00034571	0.000295204	0.000295204	9.11479e-05	0.000347322	0.0003624543	0.0003457097	0.200912	0.0666119	0.131126	0.274057	0.273807	0.053487	0.319393	2.48847	0.0341872	0.418961	3.26423	0.0448448	-1.14133	0.911669	-3.3759	0.2713562
270	20.99398	0	20.99398	0.0284254	0.0552523	0.0284988	0.0913685	0.177599	0.0916045	-3.56047	-2.89585	-3.55789	1.167619	0.001064367	0.000345117	2.09448e-05	0	0	0.000283183	0.000868522	0.00106437	0.00106437	0.0003451175	2.094478e-05	0.0002831828	0.0008685221	0.384468	0.0315022	0.161044	0.024577	0.240685	0.157724	0.000731025	0.194056	0.0438174	0.00899017	2.3865	0.538868	-7.22106	-1.63961	-3.12772	2.50944
280	20.8156	0	20.8156	0.0084158	0.198533	0.0229585	0.0150378	0.354749	0.0410234	-4.77764	-1.6168	-3.77407	0.5804537	0.0008478563	0.000283735	0.000233946	0	0	0.000537922	0.00158691	0.000847856	0.000847856	0.0002837349	0.0002339461	0.0005379223	0.001586912	0.0540087	0.127739	0.464466	0.00954103	0.240082	0.104164	5.15028	0.0189473	0.550759	6.41583	0.0236031	0.686094	1.63905	-3.96609	-0.596459	0.2197186
290	27.4255	0	27.4255	0.475537	0.179811	0.0137644	0.236215	0.0893181	0.0068372	-0.743311	-1.71585	-4.28567	-0.6997037	0.0003539392	0.000128248	0.000206498	0	0	0.000535778	8.22253e-05	0.000353939	0.000353939	0.0001282477	0.0002064978	0.0005357784	8.222526e-05	0.0215026	0.104697	0.398098	0.29185	0.00840574	0.175447	0.0238229	0.229166	0.418113	0.0313657	0.301725	0.550497	-3.73711	-1.47331	-0.872003	0.2750683
300	21.78631	0	21.78631	0.349354	0.0677018	0.0141993	0.425399	0.0824386	0.0172901	-1.05167	-2.69264	-4.25457	0.196942	0.001565488	0.000149775	0.000220344	0	0	0.000230571	0.00148885	0.00156549	0.00156549	0.0001497753	0.0002203441	0.0002305709	0.001488848	0.0906798	0.0100833	0.166346	0.233984	0.445565	0.0533424	0.00990547	0.0818002	0.00334727	0.0232433	0.191945	0.00785442	-4.61467	-2.50348	-5.69961	0.8529304
310	26.55032	0	26.55032	0.0500869	0.0463651	0.0519973	0.0901349	0.0834372	0.0935728	-2.994	-3.07121	-2.95656	0.5875484	1.194596e-05	0.00141552	0.000329095	0	0	0.000672577	6.05828e-06	1.1946e-05	1.1946e-05	0.001415515	0.0003290949	0.0006725766	6.058275e-06	0.0650486	0.0390288	0.158928	0.298615	0.159097	0.279283	0.278507	0.0390635	0.0440291	0.362817	0.0508888	0.0573575	-1.27831	-3.24257	-3.12291	0.2644538
320	25.81589	0	25.81589	0.00450053	0.0378309	0.00885253	0.00386355	0.0324765	0.00759959	-5.40356	-3.27463	-4.72705	-0.1526089	4.181207e-05	7.95274e-05	8.71254e-05	0	0	0.000357052	0.0011854	4.18121e-05	4.18121e-05	7.952741e-05	8.712539e-05	0.0003570517	0.0011854	0.348188	0.0336291	0.262362	0.166445	0.0740455	0.11533	1.37237	0.185559	0.150405	1.50141	0.203007	0.164547	0.316539	-1.68438	-1.89442	0.08986758
330	25.20871	0	25.20871	0.0965418	0.185737	0.023784	0.256136	0.492781	0.0631017	-2.33778	-1.68342	-3.73874	0.9757329	0.0003691421	0.000212345	0.000513801	0	0	0.000725605	0.0003137	0.000369142	0.000369142	0.0002123449	0.0005138009	0.0007256046	0.0003136998	0.260358	0.016034	0.041634	0.491537	0.158187	0.0322505	0.0159074	1.06591	0.736938	0.0159761	1.07051	0.74012	-4.14097	0.0638245	-0.305252	0.004308704
