Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta	hidden_rate	Q[1]	Q[2]	R[1]	R[2]	rate_01	rate_10	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta
270	-6353.458	-6359.904	6.445724	0.00293897	0.0412258	0.000719575	0.0100937	-5.8297	-3.18869	-1.407153	0.0008623488	0.00195117	0.00123767	0.000862349	0.000862349	0.001951171	0.001237673	0.769829	0.0348446	0.14245	0.0528771	0.0450433	0.0623267	0.0637249	0.0881766	-3.10013	-2.77536	0.3469515
280	-6349.211	-6350.126	0.9148178	0.00154599	0.032111	0.00078532	0.0163115	-6.47209	-3.43856	-0.6773269	0.001258055	0.00231866	0.00326829	0.00125805	0.00125805	0.002318664	0.003268286	0.633024	0.313796	0.0144454	0.0387345	0.043317	0.0605568	0.061091	0.0854047	-3.13921	-2.80417	0.343819
290	-6350.505	-6353.345	2.840887	0.00262962	0.0380009	0.0018879	0.0272823	-5.94092	-3.27015	-0.331371	0.001229459	0.00271071	0.00223871	0.00122946	0.00122946	0.002710714	0.002238713	0.351697	0.123438	0.0225648	0.5023	0.0404071	0.057989	0.0621391	0.0891771	-3.20875	-2.8475	0.4303703
300	-6349.181	-6352.645	3.463337	0.00397229	0.0592849	0.00520689	0.0777108	-5.52841	-2.8254	0.2706399	0.0007650826	0.00329532	0.00200827	0.000765083	0.000765083	0.003295322	0.002008267	0.562272	0.034277	0.168049	0.235401	0.047853	0.0902448	0.0711695	0.134217	-3.03962	-2.40523	0.39693
310	-6355.161	-6353.186	-1.974081	0.00119481	0.00971258	0.00025054	0.00203662	-6.72976	-4.63433	-1.56213	0.0006300568	0.0023766	0.00445743	0.000630057	0.000630057	0.002376595	0.004457431	0.299884	0.184636	0.501161	0.0143189	0.0424096	0.0544063	0.0593964	0.0761983	-3.16038	-2.91127	0.3368586
320	-6352.227	-6352.376	0.1490211	0.00171445	0.0297634	0.00045055	0.0078217	-6.36866	-3.51448	-1.336377	0.001375581	0.00229377	0.00327322	0.00137558	0.00137558	0.002293766	0.003273225	0.190606	0.548271	0.251286	0.00983751	0.0437056	0.0507986	0.0603218	0.0701115	-3.13028	-2.97989	0.3222175
330	-6352.99	-6353.565	0.5750945	0.00172031	0.0215659	0.00180488	0.0226261	-6.36525	-3.83664	0.04799137	0.0007929782	0.00214575	0.00412863	0.000792978	0.000792978	0.002145747	0.004128627	0.572626	0.103761	0.259199	0.0644142	0.0390579	0.0489114	0.0610185	0.0764122	-3.24271	-3.01774	0.4461324
340	-6357.28	-6354.753	-2.526564	0.00014249	0.0356249	0.00011692	0.029232	-8.85624	-3.33471	-0.1977808	0.0008453664	0.00200472	0.00435701	0.000845366	0.000845366	0.002004722	0.004357013	0.0386482	0.305585	0.497512	0.158254	0.0392985	0.0644109	0.0545823	0.0894614	-3.23657	-2.74247	0.3285239
350	-6351.769	-6358.933	7.163867	0.00647417	0.0624678	0.00596459	0.057551	-5.03993	-2.7731	-0.08198063	0.0006731206	0.00237369	0.00139495	0.000673121	0.000673121	0.002373692	0.00139495	0.241058	0.124252	0.335806	0.298884	0.0478686	0.0850579	0.0692366	0.123027	-3.03929	-2.46442	0.3690696
360	-6351.245	-6351.939	0.6944905	0.00362452	0.0195724	0.00726807	0.0392476	-5.62003	-3.93363	0.6957686	0.0003678726	0.00212423	0.00465612	0.000367873	0.000367873	0.002124227	0.004656116	0.64872	0.0435642	0.00105523	0.306661	0.0473854	0.064101	0.0802815	0.108602	-3.04944	-2.7473	0.5272258
