Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_02	rate_10	rate_12	rate_20	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
200	-6270.926	-6270.096	-0.8300817	0.000516454	0.0365281	0.0626064	0.000123628	0.00874403	0.0149866	-7.56852	-3.30967	-2.77089	-1.429712	0.002648577	0.00767902	0.000179641	0.00552609	0.00819783	0.00381264	0.00206729	0.00264858	0.00264858	0.007679018	0.005526092	0.0001796408	0.003812637	0.008197833	0.002067286	0.259445	0.0245133	0.132258	0.0131628	0.292215	0.278406	0.0703683	0.0771146	0.108763	0.0937528	0.102741	0.144907	-2.65401	-2.56246	-2.21858	0.2869185
210	-6272.592	-6263.166	-9.426335	0.00205684	0.0306195	0.0114554	0.000201889	0.00300545	0.0011244	-6.18658	-3.48612	-4.4693	-2.321208	0.002898681	0.00717272	1.62858e-05	0.0117285	0.00761222	0.000549011	0.00605328	0.00289868	0.00289868	0.007172717	0.01172847	1.62858e-05	0.000549011	0.007612222	0.006053283	0.511461	0.036861	0.120978	0.0370253	0.121571	0.172103	0.0738528	0.0699834	0.132776	0.0915858	0.0867873	0.164657	-2.60568	-2.6595	-2.01909	0.2152029
220	-6267.174	-6266.165	-1.008835	0.0017575	0.0596173	0.0467012	0.000601812	0.0204144	0.0159916	-6.34386	-2.81981	-3.06399	-1.071705	0.0009396574	0.00932044	0.000163644	0.00574441	0.00828904	0.00123485	0.00596591	0.000939657	0.000939657	0.009320441	0.005744412	0.0001636444	0.001234851	0.008289043	0.005965907	0.272912	0.0700478	0.226846	0.119438	0.235264	0.075492	0.0675451	0.0868505	0.0926176	0.0926401	0.119118	0.127028	-2.69496	-2.44357	-2.37928	0.3159265
230	-6268.595	-6262.22	-6.375248	0.00505312	0.0283063	0.0548685	0.000503298	0.00281935	0.00546498	-5.28775	-3.56467	-2.90282	-2.306579	0.002598396	0.00690363	1.16977e-06	0.00746334	0.0121942	0.000260591	0.00523697	0.0025984	0.0025984	0.006903632	0.007463335	1.169772e-06	0.0002605911	0.01219424	0.005236968	0.0702837	0.139823	0.378523	0.0418483	0.0692098	0.300312	0.0682456	0.0727112	0.103024	0.0965688	0.102888	0.145781	-2.68464	-2.62126	-2.27279	0.347143
240	-6266.195	-6272.902	6.706978	0.0100718	0.0318741	0.0237276	0.00631684	0.0199907	0.0148815	-4.59801	-3.44596	-3.74111	-0.4665235	0.001156409	0.00627069	4.85358e-05	0.00746747	0.00588755	0.00128464	0.00482041	0.00115641	0.00115641	0.006270688	0.007467471	4.853576e-05	0.001284638	0.005887546	0.004820407	0.611698	0.0903677	0.0129229	0.035426	0.0863117	0.163274	0.0675924	0.0623038	0.09933	0.106437	0.0981095	0.156414	-2.69426	-2.77573	-2.30931	0.4540614
250	-6271.634	-6262.71	-8.924666	0.00248913	0.00440773	0.00179909	0.00131557	0.00232959	0.00095086	-5.99582	-5.4244	-6.32048	-0.6376683	0.001978935	0.00670938	6.65799e-05	0.0111888	0.00877574	0.000803387	0.00611812	0.00197893	0.00197893	0.006709378	0.01118879	6.657994e-05	0.000803387	0.008775735	0.006118121	0.0996858	0.114694	0.0289702	0.253588	0.456152	0.0469105	0.0636353	0.064514	0.10131	0.0953645	0.0966814	0.151824	-2.75459	-2.74087	-2.28957	0.4045384
260	-6266.953	-6266.055	-0.8982703	0.00733849	0.00161201	0.0165787	0.035529	0.00780447	0.0802652	-4.91462	-6.43027	-4.09963	1.577216	0.002213488	0.00674705	0.000121752	0.0097062	0.00843219	3.87673e-05	0.00270507	0.00221349	0.00221349	0.006747051	0.009706201	0.0001217521	3.876733e-05	0.008432194	0.002705071	0.103819	0.0720269	0.0306152	0.110845	0.363943	0.31875	0.0697819	0.0574158	0.106744	0.11795	0.0970478	0.180426	-2.66238	-2.85744	-2.23732	0.5248843
270	-6266.418	-6267.458	1.039471	0.00399957	0.0176879	0.119236	0.00178143	0.00787829	0.0531087	-5.52157	-4.03488	-2.12665	-0.8087675	0.001738545	0.00625806	0.000232483	0.0110484	0.00878756	0.000311794	0.00231246	0.00173855	0.00173855	0.006258063	0.01104836	0.0002324826	0.0003117936	0.008787562	0.002312461	0.472608	0.23893	0.0027798	0.0767418	0.101893	0.107048	0.068929	0.0639108	0.126532	0.0898806	0.0833371	0.164992	-2.67468	-2.75027	-2.06726	0.2654053
280	-6268.881	-6280.856	11.97464	0.00259184	0.0547178	0.022229	0.00165542	0.0349485	0.0141978	-5.95539	-2.90557	-3.80636	-0.4483131	0.001811425	0.00541431	2.87543e-05	0.00672789	0.00569896	0.00093868	0.00188909	0.00181143	0.00181143	0.005414307	0.006727893	2.875429e-05	0.0009386799	0.005698957	0.001889093	0.173613	0.10678	0.00705321	0.00925509	0.552425	0.150873	0.0701362	0.086439	0.13178	0.0897052	0.110557	0.168549	-2.65732	-2.44832	-2.02662	0.2460886
290	-6270.56	-6273.576	3.016518	0.00202941	0.00734348	0.0583072	0.00173933	0.00629381	0.0499729	-6.20001	-4.91394	-2.84203	-0.1542454	0.001557554	0.00638017	0.000190109	0.00611249	0.00932748	0.00240274	0.00254549	0.00155755	0.00155755	0.006380169	0.006112493	0.0001901095	0.002402743	0.009327478	0.002545488	0.0609421	0.153938	0.126314	0.00442071	0.278878	0.375507	0.0646293	0.0547344	0.124453	0.0939198	0.0795405	0.180856	-2.73909	-2.90526	-2.08383	0.373774
300	-6270.008	-6273.504	3.495876	0.00202483	0.0104948	0.0750642	0.000775714	0.00402058	0.0287571	-6.20227	-4.55687	-2.58941	-0.9594573	0.0006265642	0.00608117	0.000321228	0.00672791	0.0106136	0.000317562	0.00328015	0.000626564	0.000626564	0.006081174	0.00672791	0.0003212285	0.0003175623	0.01061364	0.003280151	0.0589088	0.661508	0.0131969	0.0339814	0.0471754	0.18523	0.0629025	0.0547212	0.122669	0.0960576	0.0835641	0.187326	-2.76617	-2.9055	-2.09826	0.4233626
