Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_02	rate_10	rate_12	rate_20	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
200	-6555.729	-6552.527	-3.201532	0.000599184	0.0911125	0.0545408	0.000213298	0.0324343	0.0194155	-7.41994	-2.39566	-2.90881	-1.032877	0.001262538	0.00891595	2.38595e-05	0.00343553	0.00561755	0.000979494	0.00289741	0.00126254	0.00126254	0.008915949	0.003435532	2.385951e-05	0.0009794939	0.005617551	0.002897408	0.202809	0.0876349	0.180564	0.0232865	0.418177	0.0875289	0.0468064	0.0600958	0.0854208	0.0562685	0.0722444	0.102689	-3.06174	-2.81182	-2.46017	0.1841155
210	-6548.119	-6555.735	7.616316	0.00212104	0.0367305	0.0558971	0.00192921	0.0334086	0.0508417	-6.15585	-3.30415	-2.88424	-0.09479601	0.0009757447	0.00504665	9.87858e-05	0.00485893	0.00455553	0.000258251	0.00283809	0.000975745	0.000975745	0.005046649	0.004858929	9.878576e-05	0.0002582511	0.004555531	0.002838091	0.266744	0.257183	0.157178	0.0110902	0.233861	0.0739443	0.0449803	0.0589308	0.0911639	0.0629093	0.0824205	0.127502	-3.10153	-2.83139	-2.3951	0.3354698
220	-6556.03	-6563.819	7.78876	0.00406648	0.0484601	0.0115574	0.00371195	0.0442352	0.0105497	-5.50498	-3.02701	-4.46043	-0.09122033	0.0033728	0.00445584	1.59524e-05	0.00411283	0.00334128	3.54913e-05	0.0032927	0.0033728	0.0033728	0.004455837	0.004112827	1.595236e-05	3.549132e-05	0.003341282	0.003292701	0.707011	0.0261939	0.031589	0.043399	0.134242	0.0575642	0.0436966	0.0609532	0.0690899	0.0621113	0.0866403	0.098206	-3.13049	-2.79765	-2.67235	0.351659
230	-6555.649	-6562.858	7.208864	0.00364193	0.0435676	0.0687176	0.00288439	0.0345054	0.0544241	-5.61524	-3.13344	-2.67775	-0.2331982	0.0004657025	0.00371322	0.000276718	0.00445677	0.0051576	0.000595124	0.0042391	0.000465703	0.000465703	0.003713222	0.004456766	0.0002767177	0.000595124	0.005157602	0.004239103	0.580054	0.01711	0.00477387	0.0484388	0.135219	0.214405	0.0466468	0.0739238	0.099787	0.0853139	0.135202	0.182504	-3.06515	-2.60472	-2.30472	0.6037323
240	-6561.168	-6567.27	6.10194	0.00369865	0.0068015	0.0610964	0.000786734	0.00144674	0.0129957	-5.59979	-4.99061	-2.7953	-1.547833	0.0005711457	0.00325589	0.000456543	0.0057597	0.00725555	0.000411919	0.00101081	0.000571146	0.000571146	0.003255893	0.005759704	0.0004565429	0.000411919	0.007255549	0.001010806	0.195786	0.416707	0.00395123	0.0611582	0.144939	0.177458	0.0459767	0.0552884	0.0875349	0.0634824	0.0763396	0.120864	-3.07962	-2.89519	-2.43572	0.3226288
250	-6553.907	-6560.384	6.477087	0.00547453	0.0200337	0.0265559	0.00701654	0.0256765	0.0340359	-5.20765	-3.91034	-3.6285	0.2481635	0.0006925543	0.00442823	7.54929e-05	0.00689781	0.00328165	0.000364623	0.00359407	0.000692554	0.000692554	0.004428229	0.006897808	7.549292e-05	0.0003646235	0.003281649	0.003594066	0.209584	0.288371	0.00186551	0.440113	0.0468295	0.0132369	0.0481045	0.0530416	0.0736671	0.0791581	0.0872824	0.121223	-3.03438	-2.93668	-2.6082	0.4980724
260	-6566.741	-6559.447	-7.294126	0.00126116	0.0115604	0.0725263	0.000741083	0.0067931	0.0426178	-6.67572	-4.46017	-2.62381	-0.5316767	0.001703307	0.00589902	0.000315991	0.0091476	0.00464327	0.000953254	0.00279675	0.00170331	0.00170331	0.005899024	0.009147604	0.000315991	0.0009532538	0.004643272	0.002796747	0.189519	0.226919	0.0650568	0.211058	0.293095	0.0143519	0.041797	0.0348245	0.0817015	0.056978	0.047473	0.111376	-3.17493	-3.35743	-2.50468	0.309839
270	-6556.657	-6570.29	13.63299	0.00160005	0.033682	0.0405354	0.000214346	0.00451213	0.00543022	-6.43772	-3.39079	-3.20558	-2.010196	0.001050704	0.00412075	6.87632e-05	0.00355835	0.00433598	0.000509576	0.000871202	0.0010507	0.0010507	0.004120748	0.003558346	6.876322e-05	0.0005095758	0.00433598	0.0008712021	0.37382	0.194483	0.085743	0.0590599	0.115333	0.171561	0.0436395	0.046991	0.0840626	0.0662496	0.0713375	0.127616	-3.13179	-3.0578	-2.47619	0.4174658
280	-6553.257	-6557.286	4.028935	0.000506017	0.0247814	0.0241632	6.05852e-05	0.00296706	0.00289305	-7.58894	-3.69766	-3.72293	-2.12252	0.0009070059	0.00438111	0.000129735	0.00487711	0.00417975	0.000385852	0.00364141	0.000907006	0.000907006	0.00438111	0.004877113	0.0001297347	0.0003858518	0.004179748	0.003641413	0.401916	0.25705	0.0481097	0.0590195	0.0721861	0.161718	0.046178	0.048325	0.0746867	0.0607535	0.0635781	0.0982605	-3.07525	-3.02981	-2.59445	0.2743204
290	-6551.852	-6561.095	9.242837	0.000899229	0.0212252	0.0441949	0.000656312	0.0154915	0.0322561	-7.01397	-3.85256	-3.11915	-0.3149016	0.001152327	0.00486387	2.28375e-05	0.00421492	0.00511478	0.000531796	0.00141729	0.00115233	0.00115233	0.004863869	0.004214921	2.283748e-05	0.0005317958	0.005114776	0.001417286	0.239262	0.0623386	0.0383665	0.00249624	0.637657	0.0198794	0.0456097	0.0548915	0.088901	0.0677692	0.0815605	0.132094	-3.08763	-2.9024	-2.42023	0.395987
