Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_02	rate_10	rate_12	rate_20	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
200	-6379.301	-6402.012	22.7108	0.00503835	0.00604967	0.0272904	0.0181988	0.0218517	0.0985741	-5.29068	-5.10775	-3.60122	1.284275	0.001435189	0.0026334	9.20432e-07	0.00399548	0.00133729	0.000354686	0.00090251	0.00143519	0.00143519	0.002633402	0.003995485	9.204319e-07	0.000354686	0.001337291	0.0009025099	0.294971	0.538363	0.0208669	0.00372387	0.138823	0.00325203	0.0449413	0.0448703	0.126624	0.0776337	0.0775109	0.218735	-3.1024	-3.10398	-2.06654	0.5466439
210	-6381.187	-6400.37	19.18304	0.00181949	0.00667759	0.13122	0.00196943	0.00722786	0.142033	-6.3092	-5.009	-2.03088	0.07918497	0.001814342	0.00297362	4.48733e-06	0.00349855	0.00282425	0.000534445	0.000796379	0.00181434	0.00181434	0.002973623	0.003498553	4.487335e-06	0.0005344451	0.002824246	0.0007963789	0.336249	0.150357	0.383585	0.0329221	0.0693018	0.0275847	0.0449247	0.0400966	0.187697	0.0708552	0.0632403	0.296035	-3.10277	-3.21646	-1.67293	0.4556497
220	-6379.982	-6402.863	22.88112	0.000860545	0.00890932	0.0264846	0.000676525	0.00700414	0.020821	-7.05794	-4.72066	-3.63119	-0.2405973	0.001689497	0.00323168	6.20016e-05	0.00328988	0.00165786	1.43572e-06	0.000398226	0.0016895	0.0016895	0.003231685	0.003289883	6.200162e-05	1.435724e-06	0.001657864	0.0003982257	0.764343	0.0382825	0.0951403	0.00141754	0.0721129	0.0287036	0.0430406	0.0412251	0.0928804	0.0753036	0.0721271	0.162503	-3.14561	-3.18871	-2.37644	0.5593831
230	-6388.397	-6410.669	22.27263	0.00219161	0.00130412	0.00189404	0.00144984	0.000862733	0.00125299	-6.12312	-6.64222	-6.26904	-0.4131821	0.001668175	0.00200117	7.69025e-05	0.00348789	0.00141211	0.000245136	0.000809198	0.00166817	0.00166817	0.002001166	0.003487893	7.690251e-05	0.0002451362	0.001412108	0.0008091975	0.471051	0.182472	0.0942945	0.0119256	0.186779	0.0534781	0.0403012	0.0356	0.101626	0.0598441	0.0528631	0.150907	-3.21137	-3.33541	-2.28645	0.3953607
240	-6387.365	-6406.327	18.96198	0.00774178	0.00258245	0.0537269	0.0242827	0.00810006	0.168519	-4.86112	-5.95902	-2.92384	1.143134	0.001478179	0.00235381	0.00052639	0.00420238	0.00275447	0.000315424	0.00081912	0.00147818	0.00147818	0.002353815	0.004202384	0.0005263899	0.0003154242	0.00275447	0.00081912	0.112888	0.241089	0.551478	0.0070399	0.0559358	0.0315692	0.0472289	0.0361359	0.126167	0.0804967	0.0615898	0.215038	-3.05275	-3.32047	-2.07015	0.5332104
250	-6381.173	-6402.304	21.1307	0.000423102	0.0173729	0.0531314	0.00012317	0.00505744	0.0154671	-7.7679	-4.05284	-2.93499	-1.23405	0.001154236	0.00330728	5.6804e-05	0.00368457	0.00212196	8.15152e-05	0.000262827	0.00115424	0.00115424	0.003307277	0.00368457	5.680398e-05	8.151517e-05	0.002121956	0.0002628269	0.315347	0.271315	0.0762613	0.00746594	0.0923405	0.237271	0.0408523	0.046011	0.089634	0.0630106	0.0709673	0.138251	-3.19779	-3.07888	-2.41202	0.4333395
260	-6386.782	-6413.12	26.3386	0.00121266	0.0138838	0.0363936	0.00097968	0.0112164	0.0294016	-6.71494	-4.27703	-3.31336	-0.2133417	0.0009174521	0.00225115	0.000175203	0.00230296	0.00136578	0.000415479	0.00154472	0.000917452	0.000917452	0.002251153	0.002302964	0.0001752031	0.0004154785	0.001365784	0.001544721	0.132547	0.02273	0.60729	0.145308	0.0684378	0.0236868	0.0469724	0.0502325	0.13481	0.0746723	0.0798549	0.214309	-3.0582	-2.99109	-2.00389	0.4635496
270	-6382.082	-6400.45	18.36764	0.00191107	0.0295524	0.0117532	0.00147477	0.0228055	0.00906996	-6.26009	-3.52159	-4.44363	-0.2591613	0.0006718536	0.0042981	2.86424e-05	0.00343997	0.00160677	0.000727944	0.00235059	0.000671854	0.000671854	0.004298096	0.003439967	2.864242e-05	0.0007279436	0.001606765	0.002350586	0.255612	0.265959	0.283352	0.0121749	0.177723	0.00517903	0.0453777	0.0576693	0.103394	0.0618588	0.0786146	0.140946	-3.09273	-2.85303	-2.26921	0.3098318
280	-6385.01	-6408.211	23.2009	0.00613046	0.0425915	0.0153087	0.00499465	0.0347004	0.0124724	-5.09449	-3.1561	-4.17934	-0.2049025	0.001106539	0.00533001	3.09286e-05	0.00188123	0.00155447	0.000989633	0.000324366	0.00110654	0.00110654	0.005330012	0.001881227	3.092861e-05	0.0009896325	0.001554466	0.000324366	0.11268	0.429921	0.166362	0.0454887	0.24198	0.00356817	0.0444522	0.0603711	0.0971071	0.0665581	0.0903933	0.145398	-3.11334	-2.80724	-2.33194	0.4036602
290	-6386.796	-6410.86	24.06453	0.00558401	0.0324727	0.0495804	0.00339228	0.0197272	0.03012	-5.18785	-3.42735	-3.00416	-0.4984051	0.001361585	0.00215681	2.06346e-06	0.00150159	0.00244575	0.000197678	0.00317604	0.00136158	0.00136158	0.002156808	0.001501594	2.063465e-06	0.0001976778	0.00244575	0.003176039	0.464913	0.308537	0.096094	0.0395098	0.0748936	0.0160526	0.0467379	0.0578444	0.131844	0.0644095	0.0797153	0.181695	-3.0632	-2.85	-2.02613	0.3207057
300	-6387.041	-6405.903	18.86221	0.00897065	0.0215763	0.0919106	0.0184589	0.0443975	0.189124	-4.7138	-3.83616	-2.38694	0.7215883	0.0001942909	0.00338233	0.000139653	0.00290996	0.0048149	0.000307273	0.00151651	0.000194291	0.000194291	0.00338233	0.002909955	0.0001396527	0.0003072726	0.004814897	0.001516509	0.200531	0.305352	0.337756	0.011897	0.129599	0.0148647	0.0528927	0.0555778	0.153367	0.0941013	0.0988782	0.272855	-2.93949	-2.88997	-1.87492	0.5761057
310	-6382.897	-6402.672	19.77533	0.000684819	0.0136139	0.0890213	0.000166147	0.00330294	0.0215979	-7.28636	-4.29666	-2.41888	-1.416279	0.0006458622	0.00341176	8.54918e-05	0.00513592	0.00135444	0.000297277	0.000467902	0.000645862	0.000645862	0.003411758	0.005135918	8.549182e-05	0.0002972773	0.001354444	0.000467902	0.494572	0.0430432	0.260744	0.00666245	0.157739	0.0372398	0.0415105	0.0383269	0.127006	0.066768	0.0616473	0.204284	-3.18181	-3.2616	-2.06352	0.4752771
320	-6388.567	-6414.8	26.23255	0.00415085	0.0299415	0.117894	0.00278658	0.0201005	0.0791454	-5.48444	-3.50851	-2.13797	-0.3985001	0.001138329	0.00217669	0.000150635	0.00303346	0.00201805	0.000410886	0.000600844	0.00113833	0.00113833	0.002176685	0.003033457	0.0001506345	0.0004108861	0.002018054	0.0006008435	0.181459	0.0238247	0.106543	0.243711	0.400325	0.0441371	0.044022	0.0492807	0.187767	0.0757853	0.0848384	0.323248	-3.12307	-3.01022	-1.67255	0.5432151
330	-6386.419	-6408.435	22.01595	0.00502733	0.012186	0.0288172	0.00210743	0.00510832	0.01208	-5.29287	-4.40747	-3.54678	-0.8694186	0.0009183943	0.00261064	1.91412e-05	0.00342349	0.00154258	0.000632793	0.00224473	0.000918394	0.000918394	0.002610639	0.003423494	1.914121e-05	0.0006327932	0.001542581	0.00224473	0.174776	0.0525446	0.195424	0.211081	0.192038	0.174137	0.0453207	0.0469869	0.0891482	0.0828566	0.0859029	0.162984	-3.09399	-3.05789	-2.41746	0.6033489
340	-6380.624	-6408.005	27.38167	0.00750291	0.0130426	0.00808341	0.0138519	0.0240792	0.0149236	-4.89246	-4.33954	-4.81794	0.6131301	0.0006564773	0.00273794	4.8991e-05	0.00303134	0.00149843	0.000202827	0.000714544	0.000656477	0.000656477	0.002737939	0.003031336	4.899102e-05	0.0002028273	0.001498433	0.0007145437	0.251985	0.10242	0.184717	0.0351881	0.326081	0.0996099	0.0508867	0.055903	0.103558	0.0719603	0.0790539	0.146445	-2.97815	-2.88414	-2.26762	0.3465116
350	-6384.726	-6411.354	26.62845	0.0141498	0.0139761	0.0612562	0.0257426	0.0254266	0.111443	-4.25805	-4.27041	-2.79269	0.5984453	0.00173119	0.00228109	6.12121e-05	0.00209011	0.0025626	8.23166e-05	0.000796693	0.00173119	0.00173119	0.00228109	0.002090114	6.121211e-05	8.231658e-05	0.0025626	0.0007966934	0.419487	0.129789	0.112975	0.0227205	0.244552	0.0704758	0.0566381	0.0502378	0.131586	0.0904308	0.0802119	0.210096	-2.87107	-2.99099	-2.02809	0.4679035
360	-6387.585	-6408.717	21.13148	0.00404379	0.00265669	0.0419585	0.00642699	0.00422241	0.0666868	-5.51057	-5.93067	-3.17107	0.4633245	0.001066102	0.00428765	7.66353e-05	0.000946298	0.00342024	0.000391469	0.00129339	0.0010661	0.0010661	0.004287651	0.0009462978	7.663534e-05	0.0003914688	0.003420239	0.001293394	0.441093	0.089382	0.0323813	0.00858589	0.348826	0.0797314	0.0419992	0.0374308	0.122939	0.0687652	0.0612854	0.201287	-3.17011	-3.28526	-2.09607	0.4930475
370	-6382.887	-6401.484	18.59653	0.00145212	0.0466441	0.0655281	0.000622393	0.0199921	0.028086	-6.53473	-3.06521	-2.72528	-0.8472083	0.0008396168	0.00500788	9.11774e-05	0.00307974	0.00154025	0.000165296	0.00216051	0.000839617	0.000839617	0.005007884	0.003079742	9.117736e-05	0.0001652964	0.001540249	0.002160505	0.343985	0.258205	0.194141	0.0153066	0.103195	0.0851681	0.045194	0.0512681	0.114266	0.0673924	0.07645	0.170392	-3.09679	-2.97069	-2.16922	0.399568
380	-6385.91	-6408.679	22.76943	0.00185575	0.00861007	0.0384096	0.00097358	0.00451709	0.0201508	-6.28947	-4.75482	-3.25945	-0.6450636	0.0004683994	0.00258992	1.08358e-05	0.00548163	0.000704006	5.10765e-05	0.00142862	0.000468399	0.000468399	0.00258992	0.005481628	1.083582e-05	5.10765e-05	0.000704006	0.001428621	0.117147	0.0794314	0.200397	0.0499449	0.21969	0.33339	0.048189	0.0485279	0.122291	0.0763408	0.0768777	0.193733	-3.03262	-3.02562	-2.10135	0.4600775
390	-6391.213	-6411.403	20.18996	0.000365753	0.0125573	0.000508481	0.000173909	0.00597079	0.000241774	-7.91355	-4.37745	-7.58408	-0.7434243	0.0005757681	0.00249037	9.85443e-05	0.00314616	0.00126795	0.00131437	0.000823839	0.000575768	0.000575768	0.002490375	0.003146164	9.854432e-05	0.001314365	0.001267949	0.0008238391	0.116633	0.0823115	0.0441743	0.494386	0.206593	0.0559022	0.0408147	0.0358091	0.0842664	0.0707675	0.0620884	0.146107	-3.19871	-3.32955	-2.47377	0.5503576
400	-6385.357	-6408.557	23.19959	0.00305849	0.0248057	0.0605583	0.00311771	0.0252859	0.0617309	-5.78983	-3.69668	-2.80415	0.01917699	0.001919357	0.00222284	5.05783e-05	0.00414872	0.00125137	0.00121128	0.000285004	0.00191936	0.00191936	0.002222836	0.004148724	5.05783e-05	0.001211283	0.001251373	0.0002850038	0.211199	0.0536435	0.0740766	0.0157462	0.636975	0.00835906	0.0439334	0.0521523	0.100848	0.0637926	0.0757266	0.146435	-3.12508	-2.95359	-2.29414	0.3729619
410	-6381.453	-6403.574	22.12095	0.00225883	0.0223398	0.0949326	0.00129788	0.012836	0.0545463	-6.09291	-3.80138	-2.35459	-0.5541171	0.0003878996	0.00361727	0.000179606	0.00293334	0.0016472	0.000112893	0.00250917	0.0003879	0.0003879	0.003617274	0.00293334	0.0001796059	0.0001128933	0.001647196	0.002509167	0.196779	0.0119228	0.136792	0.0068327	0.138092	0.509581	0.0479142	0.0528389	0.133489	0.0692728	0.0763928	0.192994	-3.03834	-2.94051	-2.01374	0.3686412
420	-6382.725	-6403.36	20.63544	0.000540022	0.0239763	0.00905218	0.000420163	0.0186547	0.00704303	-7.5239	-3.73069	-4.70475	-0.2509675	0.0006912936	0.00418177	4.10118e-05	0.00252065	0.00220117	1.53494e-05	0.0015893	0.000691294	0.000691294	0.004181767	0.002520652	4.101184e-05	1.534937e-05	0.002201166	0.001589302	0.146039	0.150505	0.0819836	0.0084971	0.531795	0.08118	0.0454178	0.0506918	0.126967	0.0664183	0.0741309	0.185675	-3.09185	-2.98199	-2.06383	0.380069
430	-6380.826	-6405.865	25.03918	0.011299	0.00813071	0.0510426	0.0269667	0.0194052	0.121821	-4.48305	-4.81211	-2.97509	0.8698941	0.001074699	0.00287106	3.71076e-05	0.00291351	0.00167374	0.00010579	0.00134621	0.0010747	0.0010747	0.002871062	0.002913511	3.710759e-05	0.00010579	0.001673736	0.00134621	0.237405	0.257096	0.100375	0.145968	0.102415	0.15674	0.0477566	0.0390912	0.125211	0.09064	0.0741934	0.237645	-3.04164	-3.24186	-2.07776	0.6407777
440	-6384.244	-6409.893	25.64893	0.00449975	0.0103878	0.0546337	0.00692165	0.0159788	0.0840392	-5.40373	-4.56712	-2.9071	0.4306317	0.0006372471	0.00345238	0.000191823	0.0033732	0.00151745	0.000389171	0.000160165	0.000637247	0.000637247	0.003452376	0.003373204	0.000191823	0.0003891713	0.001517453	0.0001601652	0.147007	0.011735	0.417672	0.0205957	0.320651	0.0823389	0.0435981	0.047137	0.111209	0.0775707	0.0838673	0.197866	-3.13274	-3.0547	-2.19634	0.5761765
450	-6384.106	-6399.687	15.58092	0.00407806	0.00335948	0.00178413	0.0159285	0.0131218	0.00696863	-5.50214	-5.69597	-6.32883	1.362489	0.001083865	0.00254212	3.06257e-05	0.00571297	0.00184185	0.000438074	0.00144681	0.00108387	0.00108387	0.002542124	0.005712966	3.062574e-05	0.0004380737	0.001841855	0.001446808	0.153651	0.0655555	0.22637	0.200409	0.101702	0.252313	0.0444057	0.0374908	0.0904464	0.0784956	0.0662722	0.159882	-3.11439	-3.28366	-2.403	0.5696755
460	-6384.589	-6398.578	13.98892	0.00715937	0.00290031	0.0211267	0.0312429	0.0126567	0.0921952	-4.93933	-5.84294	-3.85722	1.473371	0.002650158	0.00224413	2.08556e-05	0.00495933	0.0024357	0.000537834	0.00170893	0.00265016	0.00265016	0.002244135	0.004959333	2.085563e-05	0.0005378338	0.002435705	0.001708926	0.24258	0.0132491	0.267457	0.0888147	0.102658	0.285241	0.0441918	0.0360492	0.109751	0.0874638	0.0713482	0.217218	-3.11922	-3.32287	-2.20954	0.6826857
470	-6382.776	-6401.87	19.09348	0.00272185	0.00207651	0.0208532	0.0101265	0.00772557	0.0775835	-5.90645	-6.17706	-3.87025	1.313845	0.0005657935	0.00338123	9.07481e-05	0.00350876	0.00315752	0.000250244	0.000885743	0.000565794	0.000565794	0.003381232	0.003508765	9.074815e-05	0.0002502441	0.003157517	0.0008857433	0.332522	0.0615669	0.346753	0.0858638	0.1489	0.0243945	0.0453611	0.0448446	0.114728	0.0710368	0.0702279	0.179668	-3.0931	-3.10455	-2.16519	0.4485437
480	-6380.601	-6406.543	25.94215	0.00438382	0.00447909	0.0722251	0.00491223	0.00501898	0.0809309	-5.42983	-5.40834	-2.62797	0.113808	0.0001785548	0.00278609	1.30779e-06	0.00315902	0.00228476	0.000323742	0.000756575	0.000178555	0.000178555	0.002786089	0.003159017	1.307794e-06	0.0003237422	0.002284761	0.0007565749	0.464761	0.0283192	0.286999	0.0545138	0.154924	0.0104827	0.0451429	0.0445664	0.148534	0.0610958	0.0603156	0.201024	-3.09792	-3.11077	-1.90694	0.3026096
