Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation[12]	speciation[13]	speciation[14]	speciation[15]	speciation[16]	speciation[17]	speciation[18]	speciation[19]	speciation[20]
610	-6179.876	-6149.858	-30.01802	0.03613	0.0233112	0.0218329	0.0343796	0.0369546	0.0368873	0.0373693	0.0448973	0.0448522	0.04639	0.0452786	0.0556877	0.0543528	0.0593257	0.0555241	0.0973723	0.0970379	0.104549	0.103777	0.127546
620	-6182.129	-6154.368	-27.76151	0.0377198	0.020634	0.0216317	0.0323959	0.0328497	0.0342627	0.0388249	0.0395148	0.0395429	0.0383848	0.0415639	0.0433348	0.0452865	0.0600554	0.0627422	0.0994068	0.0987016	0.0997289	0.0982536	0.000968949
630	-6197.738	-6150.485	-47.25239	0.0351378	0.0234172	0.0251924	0.0320196	0.0322618	0.0359206	0.0379149	0.0424078	0.0425373	0.0462532	0.0483427	0.0524487	0.0711411	0.0796292	0.0792995	0.081758	0.082408	0.0995413	0.118013	0.0351152
640	-6191.159	-6152.867	-38.29197	0.0381593	0.0247897	0.0245372	0.0311318	0.0297924	0.0365275	0.0396675	0.0424121	0.042713	0.0387981	0.035036	0.0434229	0.0413626	0.054169	0.050115	0.0634119	0.0862778	0.0793726	0.0838427	0.0800972
650	-6181.071	-6153.29	-27.78149	0.0362231	0.0242074	0.0257242	0.0304759	0.0294011	0.0382808	0.0361432	0.0387036	0.0398966	0.040138	0.0396808	0.0456693	0.0402402	0.0756444	0.0747868	0.114264	0.114448	0.108966	0.0974577	0.0934987
660	-6115.088	-6153.111	38.02316	0.0319579	0.0241072	0.0266019	0.0325741	0.0333853	0.0332593	0.0358406	0.041463	0.0415237	0.0407592	0.0405436	0.0444087	0.0422841	0.0578478	0.0583885	0.0680604	0.0750035	0.0766332	0.0750158	0.0877181
670	-6139.101	-6154.494	15.39215	0.0413148	0.0242508	0.0279247	0.0335166	0.0296097	0.0292534	0.0336149	0.0466345	0.0471976	0.0481077	0.0462894	0.0500811	0.0489499	0.0584213	0.0621123	0.0642499	0.100947	0.103435	0.0892695	0.0839917
680	-6147.957	-6154.056	6.099015	0.0350358	0.0203458	0.0232601	0.0320385	0.0318446	0.0312773	0.0339376	0.0393364	0.0430591	0.0426787	0.042503	0.0460397	0.045139	0.0574556	0.0516142	0.0513316	0.167953	0.141353	0.141134	0.141924
690	-6126.314	-6150	23.68618	0.0344885	0.0217936	0.0224152	0.0312249	0.0353602	0.0355111	0.0383796	0.0464028	0.0495874	0.0500536	0.0512544	0.0536928	0.0536771	0.0604101	0.0611652	0.0606986	0.087816	0.0878431	0.0875283	0.0890696
700	-6165.244	-6149.833	-15.4111	0.0353809	0.0219412	0.0230181	0.0385833	0.0381448	0.0396267	0.0438153	0.0528566	0.0521334	0.0472028	0.0460748	0.0434404	0.045145	0.0723252	0.0592948	0.0559089	0.100621	0.0993152	0.0709525	0.0736265
710	-6189.842	-6155.323	-34.51845	0.0292583	0.022255	0.0175697	0.0328002	0.0317066	0.0313686	0.0450149	0.0470279	0.0505049	0.0505714	0.0485278	0.0468012	0.0467649	0.0547739	0.0641079	0.0640861	0.0970011	0.0969969	0.0669156	0.0641472
720	-6164.2	-6152.059	-12.14071	0.0365659	0.0198815	0.0208157	0.0280897	0.029159	0.0304606	0.0370942	0.0368196	0.0363534	0.0371326	0.0432257	0.0411944	0.0409487	0.0556498	0.0559951	0.0576517	0.146965	0.147767	0.145606	0.145131
