Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]
390	-5875.032	-5867.644	-7.387656	0.00300281	0.00301128	0.00303968	0.00302997	0.00311578	0.00317154	0.00341667	0.0034008	0.00341266	0.00308839	0.00312305	0.00314644	0.00314691	0.00310974	0.00306945	0.00301278	0.00300911	0.00301133	0.00304888	0.00305341
400	-5848.48	-5873.294	24.81401	0.000202621	0.000210008	0.000206746	0.000207509	0.000207132	0.000232828	0.000233337	0.0002348	0.000235163	0.000240108	0.000238853	0.000239703	0.000239877	0.000237552	0.000235909	0.000236282	0.000240506	0.000240669	0.000243096	0.000239743
410	-5862.827	-5869.542	6.715253	0.000315167	0.000297362	0.000296525	0.000297914	0.000296721	0.000286003	0.000283867	0.000284422	0.00028526	0.000261903	0.000267021	0.000255661	0.000384634	0.000385732	0.000383205	0.000338135	0.000341449	0.000340663	0.000328091	0.000369708
420	-5850.02	-5872.667	22.64645	8.04483e-05	8.02887e-05	8.02878e-05	8.03456e-05	8.03297e-05	8.04792e-05	7.98354e-05	6.0848e-05	6.08479e-05	5.98796e-05	5.98754e-05	5.9982e-05	5.99137e-05	5.98747e-05	2.73048e-05	2.73018e-05	2.74148e-05	2.74141e-05	2.74095e-05	2.73969e-05
430	-5776.034	-5872.959	96.92471	0.00154934	0.00154709	0.00154595	0.001546	0.00154699	0.00154665	0.00154689	0.00154705	0.00154735	0.00154598	0.00154592	0.00154532	0.00154588	0.00154611	0.00154702	0.00154715	0.00154709	0.00154824	0.00154809	0.00155028
440	-5810.526	-5874.128	63.60272	0.000319234	0.000319687	0.000319585	0.00031956	0.000319594	0.000319593	0.000319476	0.000319475	0.000319678	0.000319677	0.000319654	0.000319527	0.000319778	0.000319738	0.000319748	0.000319821	0.000319956	0.000319919	0.000319765	0.00031868
450	-5831.377	-5871.449	40.07277	0.000906582	0.000898148	0.000900267	0.000891513	0.000891312	0.000896502	0.000896448	0.000894258	0.00089332	0.000874219	0.000874102	0.000876332	0.000875926	0.00087592	0.000874906	0.000872526	0.000871129	0.000874301	0.000870121	0.000871409
460	-5876.276	-5869.956	-6.320183	0.000152566	0.000152189	0.000152122	0.000152794	0.000143962	0.000144177	0.000150544	0.000152414	0.000156525	0.000161801	0.000160994	0.00016127	0.00016006	0.00016233	0.000162122	0.000160278	0.00016059	0.000160002	0.000161132	0.000154283
470	-5914.13	-5871.483	-42.64684	0.00540861	0.00547922	0.0057751	0.00451427	0.00437605	0.0043933	0.00429378	0.00191845	0.00202659	0.00183918	0.00184096	0.00180575	0.00171268	0.00019459	0.000205922	0.000214759	0.000214796	0.000206558	0.000206735	7.09004e-05
480	-5894.699	-5873.421	-21.27808	0.000803257	0.00080528	0.000793744	0.000813702	0.000816109	0.00085411	0.000856054	0.00086123	0.000969188	0.00097926	0.00102792	0.00103248	0.00108291	0.00106168	0.00106048	0.00211236	0.000537342	0.000536899	0.000532819	0.000532686
490	-5908.58	-5870.888	-37.69179	0.0021168	0.00200071	0.00199892	0.00197031	0.00192504	0.00195105	0.0018944	0.00132953	0.0013835	0.00148866	0.00130522	0.00134119	0.000917285	0.000679138	0.0004107	0.000421733	0.000412903	0.000414509	0.000391498	0.000391773
500	-5918.78	-5873.264	-45.5154	0.000111523	0.000123296	0.000121804	2.34005e-05	2.50156e-05	2.60481e-05	3.38005e-05	3.31864e-05	3.22129e-05	5.03123e-05	3.96199e-05	3.95842e-05	3.93584e-05	3.9472e-05	3.79661e-05	3.97293e-05	3.99031e-05	4.02956e-05	3.73106e-05	3.36513e-05
510	-5931.289	-5873.855	-57.43346	0.00498923	0.00438072	0.00135022	0.000950262	2.243e-05	2.35244e-05	1.66195e-05	1.16079e-05	8.24084e-07	1.00907e-06	2.32132e-07	2.21464e-07	2.65204e-07	2.06591e-07	1.61158e-07	1.41723e-07	9.96533e-07	1.36849e-07	1.10536e-07	1.03369e-07
520	-5924.867	-5873.401	-51.46601	0.00709456	0.0124738	0.0163668	0.0154494	0.0146041	0.00363558	0.00398102	0.00391929	0.00288296	0.00180608	0.00235541	0.00233461	0.00195151	0.00191495	0.00564461	0.00587763	0.0101262	0.0143377	0.0265341	0.0465917
530	-5934.341	-5871.167	-63.17464	0.000812306	0.00091775	0.000779783	0.000136999	0.000130681	4.97899e-06	1.55412e-08	3.08163e-08	2.70525e-08	2.48444e-08	1.96817e-07	2.17152e-07	1.68523e-07	2.28513e-07	1.91375e-07	1.84032e-07	1.95801e-07	2.14846e-07	2.20798e-07	2.5761e-07
