Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation[12]	speciation[13]	speciation[14]	speciation[15]	speciation[16]	speciation[17]	speciation[18]	speciation[19]	speciation[20]
490	-5908.58	-5870.888	-37.69179	0.0404567	0.0400867	0.0390307	0.0416475	0.0429305	0.0552542	0.0566408	0.0659253	0.0665855	0.0734314	0.073933	0.0711419	0.0708871	0.0706759	0.0913719	0.14412	0.142916	0.149713	0.138254	0.137522
500	-5918.78	-5873.264	-45.5154	0.0353938	0.0360853	0.0366816	0.0352314	0.0466174	0.0467168	0.0466978	0.0721874	0.067661	0.067255	0.0702577	0.0713514	0.0728437	0.075709	0.136326	0.146284	0.145024	0.130035	0.115034	0.118936
510	-5931.289	-5873.855	-57.43346	0.0391438	0.0402976	0.0401846	0.0403178	0.0542101	0.054571	0.0547964	0.0586147	0.0705689	0.0718379	0.0821849	0.0819463	0.0817209	0.0820677	0.120206	0.117562	0.093962	0.0935336	0.094443	0.0966427
520	-5924.867	-5873.401	-51.46601	0.0456412	0.0455018	0.0448725	0.0495283	0.0637532	0.0630314	0.0639241	0.0646723	0.0686421	0.0692958	0.0694296	0.069236	0.0705652	0.070504	0.176958	0.176785	0.175797	0.177294	0.195024	0.256953
530	-5934.341	-5871.167	-63.17464	0.0422032	0.0390591	0.0387425	0.0403722	0.0607829	0.0609013	0.0607673	0.0619141	0.0729372	0.0728629	0.0730317	0.0744899	0.0701107	0.0713059	0.12037	0.120479	0.126348	0.126262	0.130541	0.18232
540	-5929.844	-5871.312	-58.53171	0.0536086	0.039097	0.0360175	0.03572	0.0504731	0.0530213	0.0546789	0.0595288	0.0651739	0.0662286	0.0692666	0.0694013	0.0688531	0.0680093	0.165532	0.162496	0.167054	0.167041	0.178981	0.179062
550	-5894.707	-5873.695	-21.01191	0.0425839	0.0381844	0.0357776	0.0347348	0.0444248	0.0451957	0.0571386	0.067084	0.0717206	0.0795744	0.0710598	0.0711824	0.0685533	0.0671773	0.0918755	0.0918971	0.093094	0.0931206	0.0880081	0.0881586
560	-5850.474	-5870.562	20.08809	0.0428463	0.0425796	0.0359941	0.0357939	0.0504045	0.050673	0.0551658	0.0626926	0.0628767	0.0679966	0.0538096	0.0522785	0.0630697	0.0610725	0.111581	0.112488	0.137919	0.137619	0.137493	0.137425
570	-5874.165	-5875.191	1.026435	0.04811	0.0479016	0.0466054	0.0465199	0.0465181	0.048785	0.0776164	0.07608	0.0760829	0.0786426	0.059092	0.0573005	0.0571037	0.0882484	0.111604	0.114128	0.116766	0.157976	0.157681	0.157072
580	-5862.122	-5871.923	9.800972	0.0422863	0.0422313	0.0421496	0.0422258	0.0420729	0.0423537	0.0670807	0.0670282	0.0664778	0.0666961	0.0666511	0.0651746	0.0649376	0.0866174	0.115021	0.114402	0.148674	0.155651	0.158998	0.159374
590	-5854.271	-5874.597	20.32593	0.0395137	0.0395392	0.0411207	0.0408162	0.0410673	0.0415853	0.0645992	0.0654235	0.0680347	0.0679624	0.0677523	0.067204	0.0664538	0.0859457	0.0995479	0.0995574	0.1039	0.106056	0.11079	0.112975
600	-5875.442	-5871.848	-3.594263	0.044422	0.0442829	0.0428016	0.043831	0.0497831	0.0587289	0.0626268	0.0631965	0.0775547	0.0765735	0.0779092	0.0780189	0.0818191	0.1524	0.152997	0.15274	0.160908	0.137011	0.137743	0.13545
610	-5884.999	-5871.635	-13.36409	0.0446936	0.0440296	0.0435176	0.0406377	0.0485842	0.0551186	0.0571486	0.0575812	0.0668861	0.0670554	0.0680559	0.0677897	0.0708451	0.109094	0.109537	0.117724	0.116691	0.115225	0.11244	0.111875
620	-5878.604	-5868.828	-9.77637	0.0438334	0.0377083	0.0373785	0.0372327	0.0546012	0.0551896	0.0555163	0.056169	0.0663319	0.0669063	0.0674226	0.0680812	0.0681294	0.0932071	0.0963432	0.118267	0.117927	0.116728	0.114984	0.115535
