Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]
460	-6194.515	-6148.29	-46.22557	0.00228911	0.00252576	0.0026124	0.00262322	0.00265321	0.00263143	0.00222339	0.00237251	0.00237367	0.00259946	0.00247211	0.00128692	0.00129619	0.00135922	0.00146096	0.0014537	0.00141591	0.00122335	0.00123455	0.001267
470	-6176.761	-6147.717	-29.04356	0.0121832	0.0122218	0.0116883	0.0117001	0.0074575	0.00781958	0.00790172	0.00418923	0.00418792	0.00419688	0.00253451	0.0025353	0.00268766	0.00234861	0.00258973	0.00246869	0.00229425	0.00215897	0.00200226	0.00194607
480	-6162.831	-6145.766	-17.06524	0.0121832	0.0121834	0.011251	0.0112613	0.00993086	0.00997316	0.0106445	0.010319	0.0103926	0.0114315	0.012143	0.0121568	0.0122116	0.0122574	0.0125281	0.0126323	0.0136469	0.0138469	0.0137775	0.0139687
490	-6171.616	-6150.034	-21.58145	5.308e-05	5.22899e-05	5.10647e-05	3.271e-05	3.13059e-05	3.15047e-05	3.15051e-05	3.20533e-05	3.15954e-05	3.14848e-05	3.22763e-05	2.86167e-05	2.85777e-05	2.99059e-05	3.00579e-05	3.01431e-05	3.01395e-05	2.8621e-05	9.13812e-05	9.20709e-05
500	-6164.025	-6148.884	-15.14144	0.000225458	0.000224147	0.000218044	0.00021557	0.000216167	0.000190983	0.000192792	0.000191953	0.000191182	0.000195116	0.000191686	0.000193277	0.000199028	0.000198587	0.000201625	0.000209974	0.000188611	0.000188165	0.000185592	0.000186129
510	-6116.494	-6149.947	33.45301	0.000141607	0.000140613	0.000139354	0.000139946	0.000141277	0.000142782	0.000142984	0.000143345	0.000143168	0.000139991	0.00014103	0.000138813	0.000138529	0.000135692	0.000137085	0.000136939	0.000137193	0.000139418	0.000138845	0.00013856
520	-6123.124	-6151.446	28.32215	0.000201899	0.000201781	0.000202092	0.000201999	0.000202617	0.000194155	0.00019419	0.000194299	0.000193778	0.000191894	0.000192317	0.000193721	0.000196463	0.00019253	0.000192633	0.000192178	0.000191884	0.00019067	0.000189992	0.000190935
530	-6131.339	-6152.454	21.11491	0.00011976	0.00010339	0.000102912	0.000103214	0.000103105	0.000103002	0.000102705	0.000102639	0.000101899	9.92773e-05	9.96273e-05	0.000103473	0.000103474	0.000104607	0.000109361	0.000109842	0.000109941	0.000105161	0.000105089	0.000105059
540	-6154.088	-6154.81	0.7216198	0.000216666	0.000194144	0.000194135	0.000193979	0.000194338	0.000194124	0.000194183	0.000194344	0.000201867	0.000200771	0.000188412	0.000188365	0.000190301	0.000190412	0.000190602	0.000184385	0.000184354	0.000183693	0.00018368	0.00018362
550	-6190.437	-6151.664	-38.77254	0.00356375	0.0037154	0.00363619	0.00361238	0.00357684	0.00359509	0.00359525	6.97891e-07	7.08137e-07	7.08112e-07	7.22533e-07	7.32587e-07	7.31502e-07	7.26464e-07	7.141e-07	7.21526e-07	1.02859e-07	5.19999e-08	6.35819e-08	6.50817e-08
560	-6180.696	-6149.791	-30.90472	0.000785975	0.000866882	0.000909661	0.000905722	0.000936712	0.00092519	0.000924619	0.000936038	0.000995602	0.000977994	0.00102991	0.00102842	0.0010925	0.00110073	0.00111784	0.00113977	0.00107353	0.0010738	0.00164065	0.00124082
570	-6195.184	-6151.147	-44.03748	0.00193637	0.00178003	0.00177894	0.00186292	0.00166561	0.00174331	0.00176766	0.00162292	0.00154877	0.00154682	0.00150148	0.00156555	0.00169685	0.0018164	0.00146946	0.00266398	0.00298437	0.00290761	0.00252624	0.00402912
580	-6192.816	-6154.373	-38.44297	0.00188129	0.00189095	0.00188427	0.0021533	0.00214908	0.00209142	0.00215969	0.00215032	0.00242712	0.00242931	0.00253544	0.00252688	0.00941646	0.0105651	0.0122184	0.0125294	0.0123555	0.0133717	0.0134548	0.0135837
590	-6138.285	-6151.31	13.02418	0.000107498	0.000108042	0.000108416	0.000109003	0.00010444	2.8251e-05	2.82383e-05	2.8288e-05	2.81034e-05	2.95885e-05	2.88583e-05	2.88847e-05	2.88414e-05	2.90947e-05	2.91872e-05	2.82402e-05	2.76604e-05	2.78195e-05	2.78362e-05	2.7821e-05
600	-6144.192	-6156.332	12.13961	0.000790833	0.000791196	0.000818795	0.000822335	0.000827704	0.000827489	0.00082763	0.000818586	0.000347211	0.000347588	0.000347376	0.000347965	0.000344198	0.000346184	0.000343623	0.000342981	0.000317209	0.000313785	0.000311455	0.000300426
610	-6179.876	-6149.858	-30.01802	0.00521267	0.00526121	0.00611367	0.00374114	0.00383784	0.00413637	0.00414041	0.00410856	0.00419096	0.00416847	0.00421335	0.00361254	0.00359771	0.00358685	0.00354538	0.00290811	0.00296295	0.00296969	0.0029289	0.00292481
620	-6182.129	-6154.368	-27.76151	0.000387696	0.000388382	0.000384976	0.00038743	0.000392048	0.000417053	0.000500171	0.000488191	0.000474377	0.000386623	0.000387411	0.000386712	0.000385138	0.000403362	0.000136299	0.000136388	0.000137603	0.000136805	0.000135988	0.000134099
630	-6197.738	-6150.485	-47.25239	0.00323832	0.00315924	0.00312189	0.00310007	0.00306798	0.00306154	0.00304071	0.00304431	0.00304997	0.00309397	0.0030969	0.00304036	0.00251297	0.00244924	0.00244378	0.00291201	0.00210028	0.00211956	0.00180634	0.00176558
640	-6191.159	-6152.867	-38.29197	0.000259139	0.000267921	0.000269518	0.000259265	0.000272881	0.000280622	0.000276597	0.000269984	0.000250276	0.000257471	0.000251593	0.000229384	0.000193008	0.000225788	0.000229748	0.000227073	0.00022994	0.000235061	0.000232544	0.000231739
650	-6181.071	-6153.29	-27.78149	0.000284803	0.000290795	0.000291775	0.000290833	0.000285626	0.000302616	0.000697775	0.000670749	0.000656802	0.000660852	0.000761939	0.00077725	0.000745556	0.000730655	0.000742451	0.000714669	0.000713618	0.000707794	0.000636146	0.000634592
660	-6115.088	-6153.111	38.02316	5.84261e-05	5.87787e-05	5.89118e-05	5.88614e-05	5.89247e-05	5.89231e-05	5.90597e-05	5.92738e-05	5.83365e-05	5.90094e-05	5.92335e-05	5.89856e-05	5.90094e-05	5.90165e-05	6.1982e-05	6.26175e-05	6.41026e-05	6.42909e-05	6.4466e-05	6.45749e-05
