Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]	interval_times[10]	interval_times[11]	interval_times[12]	interval_times[13]	interval_times[14]	interval_times[15]	interval_times[16]	interval_times[17]	interval_times[18]	interval_times[19]
440	-6205.886	-6147.592	-58.29423	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
450	-6155.907	-6145.475	-10.43255	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
460	-6194.515	-6148.29	-46.22557	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
470	-6176.761	-6147.717	-29.04356	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
480	-6162.831	-6145.766	-17.06524	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
490	-6171.616	-6150.034	-21.58145	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
500	-6164.025	-6148.884	-15.14144	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
510	-6116.494	-6149.947	33.45301	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
520	-6123.124	-6151.446	28.32215	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
530	-6131.339	-6152.454	21.11491	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
540	-6154.088	-6154.81	0.7216198	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
550	-6190.437	-6151.664	-38.77254	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
560	-6180.696	-6149.791	-30.90472	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
570	-6195.184	-6151.147	-44.03748	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
580	-6192.816	-6154.373	-38.44297	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
590	-6138.285	-6151.31	13.02418	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
600	-6144.192	-6156.332	12.13961	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
610	-6179.876	-6149.858	-30.01802	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
620	-6182.129	-6154.368	-27.76151	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
630	-6197.738	-6150.485	-47.25239	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
640	-6191.159	-6152.867	-38.29197	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
650	-6181.071	-6153.29	-27.78149	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
660	-6115.088	-6153.111	38.02316	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
670	-6139.101	-6154.494	15.39215	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
680	-6147.957	-6154.056	6.099015	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
690	-6126.314	-6150	23.68618	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
700	-6165.244	-6149.833	-15.4111	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
710	-6189.842	-6155.323	-34.51845	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
720	-6164.2	-6152.059	-12.14071	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
