Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	br_base	br_CW	br_TW	br_WC	br_WT	dr_base	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	rf_simplex[19]	rf_simplex[20]	rf_simplex[21]	rf_simplex[22]	rf_simplex[23]	rf_simplex[24]	rf_simplex[25]	rf_simplex[26]	rf_simplex[27]	w_adj[1]	w_adj[2]	w_adj[3]	w_B	w_G	w_graph[1]	w_graph[2]	w_graph[3]	w_not_B	w_U	y
1000	-782.41	-785.0673	2.657313	0.120558	0.921184	0.296856	0.612248	0.757816	0.6122483	0.1205583	0.2968565	0.9211835	0.242184	0.02805457	0.0206005	0.41648	0.236163	0.121951	0.0222381	0.0327712	0.0353966	0.0253303	0.023102	0.00261766	0.0218981	0.0179477	0.0109531	0.00204017	0.00144105	0.00609619	0.000642392	0.00123323	3.40713e-05	0.000523152	0.00023382	0.000135502	2.91036e-05	2.68551e-05	7.04706e-05	1.97437e-05	2.46089e-05	0	0.360933	1	0.9385585	0.02175489	0.0396866	0.0217549	0.938559	0.06144148	0.03968659	0.3609326
1050	-783.102	-785.4386	2.336559	0.110847	0.63211	0.263558	0.298927	0.7994085	0.2989273	0.1108471	0.2635576	0.63211	0.2005915	0.03866386	0.0143889	0.494962	0.236719	0.0970877	0.0151924	0.0214623	0.0223843	0.0170573	0.0159842	0.00197828	0.0238531	0.0193384	0.0098675	0.00155835	0.000909977	0.00523886	0.000447352	0.000814582	1.85263e-05	0.000381391	0.000180526	8.54836e-05	1.59762e-05	1.19987e-05	4.19929e-05	8.67983e-06	1.13164e-05	0	0.278898	1	0.9570846	0.01039643	0.032519	0.0103964	0.957085	0.04291541	0.03251898	0.2788975
1100	-784.8594	-787.1729	2.313476	0.158333	0.742761	0.14976	0.265633	0.8018598	0.265633	0.1583334	0.1497601	0.742761	0.1981402	0.03956671	0.0142545	0.451001	0.214615	0.115027	0.0156833	0.0257539	0.0285653	0.0184479	0.016497	0.00269794	0.0413822	0.0256417	0.0154369	0.00224612	0.00182705	0.00767884	0.00075392	0.00147067	2.27719e-05	0.000551037	0.000205826	0.000118276	2.03893e-05	1.86894e-05	5.33004e-05	1.26297e-05	1.66003e-05	0	0.421246	1	0.9393872	0.02633849	0.0342743	0.0263385	0.939387	0.06061281	0.03427432	0.4212456
1150	-783.5371	-786.0884	2.551272	0.129736	0.831041	0.332992	0.589434	0.7308925	0.5894338	0.1297355	0.332992	0.8310413	0.2691075	0.03119295	0.0194345	0.429219	0.257897	0.105638	0.020712	0.0285446	0.0289123	0.0232725	0.0218486	0.0027676	0.0182639	0.020343	0.0110256	0.00206907	0.00112591	0.00670988	0.000556052	0.00103146	2.07627e-05	0.000270045	0.000159861	7.89213e-05	1.72182e-05	1.34844e-05	4.53566e-05	1.00457e-05	1.28502e-05	0	0.249202	1	0.9658628	0.0001856918	0.0339515	0.000185692	0.965863	0.03413723	0.03395154	0.2492025
1200	-784.8726	-787.639	2.766433	0.262722	0.938717	0.464791	0.524244	0.8117571	0.5242436	0.2627225	0.4647914	0.9387174	0.1882429	0.02515437	0.0213279	0.395676	0.178732	0.107695	0.0234685	0.0332076	0.0357069	0.0274874	0.0250331	0.00607005	0.0590213	0.0332236	0.0213867	0.00504524	0.00418488	0.0112275	0.00177751	0.00362862	0.000204545	0.00319776	0.00104553	0.000657141	0.000182787	0.000180833	0.000330185	0.000134203	0.000167103	0	0.495064	1	0.9160739	0.02161275	0.0623133	0.0216127	0.916074	0.08392608	0.06231333	0.4950636
1250	-788.4485	-791.1942	2.745647	0.105675	0.757176	0.260635	0.585941	0.8410747	0.5859414	0.1056748	0.2606354	0.7571759	0.1589253	0.0256827	0.0340848	0.396112	0.169072	0.116992	0.03547	0.0442779	0.0457944	0.0379873	0.0362334	0.0041007	0.0336626	0.0154074	0.0106802	0.00363549	0.00323185	0.00593376	0.00155008	0.00293012	0.000121829	0.00142835	0.000415665	0.000287692	0.000113466	0.000115119	0.000159962	9.25893e-05	0.000108869	0	0.615157	1	0.8671413	0.02419831	0.10866	0.0241983	0.867141	0.1328587	0.1086604	0.6151567
1300	-782.3026	-784.9822	2.679591	0.181636	0.978463	0.408707	0.78883	0.7440888	0.7888298	0.181636	0.4087075	0.9784626	0.2559112	0.02743649	0.0176344	0.399882	0.232671	0.123488	0.0198007	0.0323569	0.0347287	0.023477	0.0208895	0.00331685	0.0320449	0.0259595	0.0161883	0.00264648	0.0020501	0.0090149	0.000780867	0.00165625	3.81628e-05	0.000694217	0.000297068	0.000174455	3.29265e-05	3.32982e-05	9.02162e-05	2.33646e-05	2.93705e-05	0	0.394057	1	0.9573639	0.009044055	0.0335921	0.00904406	0.957364	0.04263612	0.03359206	0.394057
1350	-787.3859	-789.3074	1.921505	0.135873	0.492699	0.0941022	0.0591863	0.8914178	0.05918635	0.1358726	0.09410219	0.4926991	0.1085822	0.05855459	0.00659741	0.585178	0.162029	0.0878822	0.00706979	0.0124337	0.013787	0.00815198	0.00743051	0.0013138	0.0654125	0.0221883	0.0121478	0.00115175	0.00102638	0.00415063	0.00040677	0.000797775	8.77518e-06	0.000591538	0.000128281	6.87926e-05	8.13326e-06	7.38986e-06	2.09973e-05	4.66219e-06	6.4786e-06	0	0.482085	1	0.9395323	0.03264465	0.027823	0.0326446	0.939532	0.0604677	0.02782305	0.4820847
1400	-766.6757	-766.3582	-0.3174846	0.152643	0.952583	0.0244807	0.0127857	0.9808532	0.01278574	0.1526427	0.02448068	0.9525831	0.01914676	0.5494672	0.000522902	0.894386	0.0430876	0.012937	0.000559858	0.000688896	0.000698861	0.000617339	0.000599809	0.000102546	0.0394865	0.00462084	0.00138736	6.64492e-05	2.89189e-05	0.0001437	9.57054e-06	2.68901e-05	4.21667e-08	2.62189e-05	1.76385e-06	5.24001e-07	3.20207e-08	1.80181e-08	5.45944e-08	1.11949e-08	1.74798e-08	0	0.282341	1	0.9857522	0.002231715	0.0120161	0.00223172	0.985752	0.0142478	0.01201608	0.2823408
1450	-768.5057	-768.3288	-0.1769435	0.235968	0.988044	0.0162797	0.0192683	0.9815612	0.01926832	0.2359681	0.01627974	0.9880445	0.01843884	0.4774254	0.000512185	0.891455	0.0394574	0.00953778	0.0005738	0.000689708	0.00068663	0.000662118	0.0006409	0.000162207	0.0472909	0.00635742	0.00156697	0.0001013	3.60154e-05	0.000197176	1.26672e-05	3.47144e-05	4.57686e-08	2.24009e-05	1.72383e-06	4.2141e-07	3.35763e-08	1.63982e-08	5.34226e-08	1.04658e-08	1.61505e-08	0	0.22227	1	0.9848486	0.001692895	0.0134585	0.0016929	0.984849	0.01515137	0.01345847	0.2222699
1500	-766.0507	-765.7312	-0.3195601	0.164267	0.980801	0.0177126	0.0128633	0.9800073	0.01286329	0.1642666	0.01771259	0.9808006	0.01999272	0.5506088	0.00104497	0.918287	0.0453488	0.00566931	0.00114766	0.00126841	0.00121018	0.00126812	0.00125725	0.000236349	0.0172092	0.00496303	0.000676007	0.000134092	2.49584e-05	0.000200543	1.19724e-05	2.49368e-05	1.0561e-07	1.42831e-05	2.34904e-06	3.18085e-07	7.07998e-08	2.0487e-08	9.51381e-08	1.4579e-08	2.04749e-08	0	0.0962305	1	0.9753645	0.0009975837	0.0236379	0.000997584	0.975364	0.02463551	0.02363792	0.09623052
1550	-768.5791	-767.7237	-0.8554116	0.112204	0.562744	0.0142857	0.00263045	0.9899915	0.002630446	0.1122041	0.01428566	0.5627443	0.01000855	0.940937	0.00064766	0.933024	0.0235033	0.00501731	0.000677703	0.000739882	0.000698984	0.000741443	0.000729702	0.000106268	0.0309504	0.00237983	0.000520027	7.63878e-05	2.46766e-05	9.68996e-05	1.21979e-05	2.45476e-05	6.02919e-08	2.71642e-05	1.27575e-06	2.83479e-07	4.86099e-08	2.1416e-08	5.69842e-08	1.49866e-08	2.1364e-08	0	0.179644	1	0.9639857	0.008300932	0.0277134	0.00830093	0.963986	0.03601431	0.02771338	0.179644
1600	-764.3765	-763.3986	-0.9778619	0.106159	0.589068	0.0079904	0.0074364	0.990016	0.007436403	0.1061591	0.007990398	0.5890683	0.009983979	1.063506	0.000471747	0.928038	0.023545	0.00632284	0.000491723	0.00054343	0.000519498	0.000535389	0.000524176	7.2607e-05	0.0359019	0.00224694	0.00059927	5.27964e-05	2.0788e-05	7.34968e-05	8.88104e-06	2.04669e-05	1.42678e-08	1.0625e-05	4.02661e-07	1.07765e-07	1.16622e-08	6.03891e-09	1.44694e-08	3.99409e-09	5.99771e-09	0	0.248294	1	0.978485	0.001475347	0.0200397	0.00147535	0.978485	0.02151505	0.0200397	0.2482938
1650	-762.3206	-761.3461	-0.9745351	0.125911	0.681092	0.00952909	0.0066243	0.9917822	0.006624301	0.1259114	0.009529094	0.6810921	0.008217808	1.059974	0.00041285	0.933369	0.0192986	0.00488994	0.000435488	0.00047947	0.000453682	0.000478587	0.000468133	7.37317e-05	0.0369065	0.00204177	0.000515222	5.12147e-05	1.88704e-05	6.58865e-05	7.86009e-06	1.86743e-05	1.76981e-08	1.37607e-05	4.54774e-07	1.15455e-07	1.40087e-08	6.93811e-09	1.64874e-08	4.58102e-09	6.90686e-09	0	0.233184	1	0.9779363	0.0003068277	0.0217569	0.000306828	0.977936	0.02206371	0.02175688	0.2331845
1700	-763.0671	-762.0956	-0.971543	0.148857	0.995727	0.00568515	0.00429136	0.9918097	0.004291364	0.1488566	0.005685154	0.9957267	0.008190303	1.056807	0.000383666	0.940188	0.0193538	0.00454829	0.000413047	0.000453423	0.000431588	0.000452639	0.000443787	7.45422e-05	0.0306935	0.00195753	0.000461411	4.52789e-05	1.47922e-05	5.75946e-05	5.44793e-06	1.46426e-05	1.01964e-08	7.09964e-06	2.5928e-07	6.14861e-08	7.33782e-09	3.37371e-09	8.59423e-09	2.18382e-09	3.35972e-09	0	0.21516	1	0.9788835	0.0005620525	0.0205544	0.000562053	0.978884	0.02111648	0.02055442	0.2151599
1750	-763.1327	-762.306	-0.8267536	0.156512	0.936297	0.013544	0.00455392	0.9903535	0.004553925	0.1565115	0.01354399	0.9362974	0.009646536	0.9143544	0.000540637	0.929919	0.0224139	0.00551295	0.000582663	0.000642989	0.000609383	0.000643094	0.000629171	0.000112122	0.0350605	0.00247867	0.000612705	7.03119e-05	2.42367e-05	8.91656e-05	9.46018e-06	2.39977e-05	4.5641e-08	2.36183e-05	9.65688e-07	2.40805e-07	3.36469e-08	1.608e-08	3.92734e-08	1.05718e-08	1.60139e-08	0	0.221561	1	0.9738354	0.001278867	0.0248857	0.00127887	0.973835	0.02616456	0.02488569	0.2215607
1800	-767.607	-766.5765	-1.030486	0.142817	0.75172	0.00546315	0.0095749	0.9930409	0.009574898	0.1428169	0.00546315	0.75172	0.006959108	1.120971	0.0003704	0.926166	0.0161784	0.0049823	0.000392666	0.00043372	0.000412303	0.000434233	0.000421996	7.31342e-05	0.0474954	0.00188518	0.000569975	5.09867e-05	2.20358e-05	6.30884e-05	9.22193e-06	2.17538e-05	1.65115e-08	1.62682e-05	3.84062e-07	1.17834e-07	1.31793e-08	7.43768e-09	1.50638e-08	4.95047e-09	7.39701e-09	0	0.280694	1	0.9654406	0.01114457	0.0234148	0.0111446	0.965441	0.03455936	0.02341478	0.2806935
1850	-764.5867	-762.7977	-1.788994	0.0792135	0.500802	0.00481053	0.00255243	0.9966095	0.002552429	0.07921352	0.004810526	0.5008022	0.003390464	2.393373	0.000223217	0.9636	0.00839642	0.00176826	0.00023007	0.000244451	0.000232069	0.000246283	0.000243165	2.60002e-05	0.0239668	0.000629849	0.000132634	1.91601e-05	6.08976e-06	2.10116e-05	2.89951e-06	6.07776e-06	3.848e-09	5.40352e-06	8.70769e-08	1.86552e-08	3.15349e-09	1.36742e-09	3.34744e-09	9.36968e-10	1.36619e-09	0	0.186444	1	0.9719674	0.001056879	0.0269758	0.00105688	0.971967	0.02803263	0.02697575	0.1864438
1900	-763.4712	-762.2863	-1.184894	0.109709	0.728854	0.00690658	0.00796457	0.9928658	0.007964571	0.1097089	0.006906579	0.7288538	0.007134226	1.308136	0.000409828	0.938922	0.01709	0.00480464	0.000429234	0.000466077	0.000444811	0.000464942	0.00045534	6.2098e-05	0.0343465	0.00153296	0.000425057	4.27903e-05	1.6944e-05	5.23916e-05	6.89936e-06	1.67667e-05	1.2373e-08	1.05851e-05	2.80121e-07	7.82872e-08	9.7731e-09	5.15218e-09	1.11066e-08	3.38702e-09	5.12913e-09	0	0.260013	1	0.9751725	0.0005235897	0.0243039	0.00052359	0.975173	0.02482745	0.02430386	0.2600129
