Iteration	Posterior	Likelihood	Prior	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	rf_simplex[19]	rf_simplex[20]	rf_simplex[21]	rf_simplex[22]	rf_simplex[23]	rf_simplex[24]	rf_simplex[25]	rf_simplex[26]	rf_simplex[27]	w_graph[1]	w_graph[2]	w_graph[3]	y
1550	-780.8731	-783.3684	2.495393	0.0211111	0.454745	0.232371	0.0930739	0.022494	0.0283502	0.0288798	0.0249228	0.0239145	0.00356871	0.0212635	0.0213819	0.0108209	0.00255046	0.00130748	0.00630945	0.000680455	0.00124108	3.96065e-05	0.000450395	0.000246679	0.000116055	3.20485e-05	2.32788e-05	6.5068e-05	1.77003e-05	2.26481e-05	0.0467069	0.00311949	0.950174	0.2441039
1600	-781.8635	-784.2546	2.391096	0.0161758	0.469065	0.233458	0.115213	0.0173657	0.0265626	0.0278403	0.0194528	0.0179864	0.00182809	0.021536	0.0157579	0.00899093	0.00140982	0.00100191	0.004474	0.000399812	0.000835824	1.60792e-05	0.000341055	0.000136154	7.34802e-05	1.36544e-05	1.2304e-05	3.41232e-05	8.52159e-06	1.11486e-05	0.0354396	0.00949422	0.955066	0.3726794
1650	-785.6918	-788.2094	2.517582	0.0208901	0.466557	0.194329	0.133562	0.0225066	0.0355274	0.03677	0.0238359	0.0227156	0.00123154	0.0205558	0.00878057	0.00584571	0.001123	0.00120137	0.00260593	0.000373433	0.000919997	1.66344e-05	0.000393719	0.000103192	6.69865e-05	1.56952e-05	1.73646e-05	2.88464e-05	1.15006e-05	1.48688e-05	0.0595933	0.000417974	0.939989	0.7019045
1700	-782.437	-785.015	2.578013	0.0163332	0.403278	0.210007	0.119561	0.0185584	0.0311742	0.0334634	0.0221309	0.0196855	0.00391681	0.0485093	0.0316603	0.0200097	0.00328474	0.00287803	0.0105167	0.00100628	0.00225704	4.53649e-05	0.000923663	0.000349035	0.000208366	4.06717e-05	4.05148e-05	0.000100553	2.63731e-05	3.52716e-05	0.0373223	0.00434607	0.958332	0.4735807
1750	-783.0792	-785.445	2.365776	0.0150165	0.476973	0.204029	0.120033	0.0162564	0.026421	0.0293262	0.0183574	0.0167348	0.00190094	0.0348785	0.0175807	0.0109235	0.00163626	0.0014725	0.00496705	0.00058175	0.0011628	3.57282e-05	0.00102749	0.000304158	0.000184682	3.25352e-05	3.36667e-05	7.74919e-05	2.36623e-05	2.94098e-05	0.0402922	0.0361311	0.923577	0.5053675
1800	-786.1941	-788.3454	2.151303	0.0118846	0.526783	0.214515	0.104823	0.0126201	0.0199336	0.0211142	0.0140962	0.013073	0.00134685	0.0276792	0.0155463	0.00849661	0.00111167	0.000825287	0.00378765	0.000343136	0.00068001	2.32853e-05	0.00080733	0.000252552	0.000132295	2.06187e-05	1.91993e-05	5.44852e-05	1.34462e-05	1.7243e-05	0.0320744	0.0161935	0.951732	0.3901594
1850	-786.5154	-789.1246	2.609223	0.016938	0.399662	0.246368	0.126301	0.0187883	0.0299902	0.0371971	0.0235278	0.0196675	0.00271522	0.0242846	0.02286	0.0143296	0.00211435	0.00148677	0.00831286	0.000750569	0.00122475	9.39549e-05	0.00155801	0.000813045	0.000485387	8.01198e-05	7.30489e-05	0.000256502	5.6597e-05	6.55443e-05	0.0284838	0.0539976	0.917519	0.3135082
1900	-784.6617	-786.9253	2.263616	0.01432	0.585126	0.167129	0.0913528	0.0148228	0.0196112	0.0205974	0.0158639	0.0152255	0.00140833	0.0300708	0.0111268	0.00625148	0.00115732	0.000870528	0.00243356	0.000395647	0.000773957	3.01135e-05	0.000965143	0.000213111	0.000118898	2.68146e-05	2.37761e-05	4.542e-05	1.71451e-05	2.2394e-05	0.0575833	0.0297728	0.912644	0.4589076
1950	-785.6385	-787.6763	2.037773	0.0152954	0.627518	0.151421	0.0814878	0.015596	0.01904	0.0192845	0.0162708	0.015889	0.000991046	0.0219812	0.00684131	0.0037227	0.00083028	0.000596735	0.00145935	0.000288738	0.000552056	2.03079e-05	0.00063727	0.000123035	6.67398e-05	1.83487e-05	1.52692e-05	2.67069e-05	1.09419e-05	1.4692e-05	0.0720877	0.0147854	0.913127	0.4545589
2000	-786.0027	-788.4394	2.436747	0.0174375	0.41185	0.183569	0.118644	0.0194183	0.0316209	0.0341278	0.0225029	0.0202204	0.00399064	0.062799	0.0301066	0.0196729	0.00360481	0.00365034	0.0095872	0.00126499	0.00283832	7.63766e-05	0.00176215	0.000513986	0.000325823	7.16799e-05	7.73309e-05	0.000148286	5.17345e-05	6.67859e-05	0.0500009	0.0100935	0.939906	0.6191318
2050	-787.5664	-789.9376	2.371271	0.0148454	0.500989	0.229404	0.118947	0.0156849	0.024598	0.0267118	0.0172908	0.0159499	0.000875511	0.0152084	0.00894729	0.00521327	0.000742985	0.000576305	0.00249135	0.000253227	0.000472662	1.65503e-05	0.000444338	0.000159243	8.89517e-05	1.49916e-05	1.32899e-05	3.86803e-05	9.12736e-06	1.19257e-05	0.0346244	0.0287715	0.936604	0.4059414
2100	-791.1018	-793.3785	2.276644	0.0133811	0.538299	0.152979	0.119023	0.0142194	0.0231628	0.0273702	0.0153834	0.0143139	0.0013205	0.0474758	0.0130323	0.0089985	0.00128809	0.00154801	0.00312018	0.000575804	0.00116675	5.16559e-05	0.00225901	0.000429659	0.000300152	5.07637e-05	5.88474e-05	9.85029e-05	4.32991e-05	4.98495e-05	0.0571238	0.102069	0.840807	0.8294616
2150	-786.267	-788.6581	2.391034	0.0132668	0.517505	0.184044	0.0804363	0.0146419	0.0197519	0.0208429	0.0170889	0.016067	0.00398115	0.0492417	0.0307745	0.0152989	0.00291646	0.00174081	0.00711102	0.000788685	0.00159408	7.25723e-05	0.00171721	0.000543275	0.000260748	5.92788e-05	5.09709e-05	0.00011715	3.83319e-05	4.86999e-05	0.0457599	0.0104813	0.943759	0.3182775
2200	-785.0215	-787.8115	2.790063	0.0200881	0.383811	0.198058	0.114134	0.0222402	0.0331877	0.0366982	0.0265017	0.0237398	0.00531297	0.051431	0.0335326	0.0216767	0.00447566	0.00361779	0.012107	0.00164729	0.00308606	0.000145116	0.0023236	0.000878468	0.000548714	0.000130472	0.000128982	0.00028481	9.66675e-05	0.00011772	0.0481441	0.0325736	0.919282	0.4384214
2250	-785.4319	-787.6152	2.183257	0.0100335	0.592476	0.196847	0.0927299	0.0104393	0.0156756	0.0162398	0.0112862	0.0107181	0.000808522	0.0225188	0.0104259	0.00534335	0.000672421	0.000479456	0.00211652	0.000204147	0.00040506	8.64517e-06	0.000375777	0.00010215	5.03741e-05	7.72455e-06	6.58537e-06	1.85054e-05	4.4915e-06	6.02297e-06	0.0327816	0.012461	0.954757	0.3891125
2300	-789.5646	-792.2517	2.687059	0.0129186	0.353639	0.227003	0.139613	0.0163674	0.0338853	0.0446779	0.023034	0.0170052	0.0029183	0.0455802	0.0336621	0.0238049	0.00275932	0.00289196	0.0141524	0.00118139	0.00193063	5.85135e-05	0.00137272	0.000665068	0.0004506	5.62237e-05	5.90438e-05	0.000228533	3.89479e-05	4.63025e-05	0.0214006	0.0696988	0.908901	0.4735024
2350	-783.9627	-786.6232	2.660442	0.0147155	0.415865	0.2377	0.132222	0.016733	0.0298911	0.0359862	0.0206832	0.0173329	0.00214715	0.0279868	0.0212574	0.0136057	0.00175799	0.00151016	0.00718977	0.000599646	0.00112805	3.70448e-05	0.000843087	0.000362957	0.000222931	3.26119e-05	3.30091e-05	0.000105927	2.28984e-05	2.79116e-05	0.0274326	0.0465722	0.925995	0.4125594
2400	-786.7754	-789.0272	2.251868	0.0162954	0.5425	0.241226	0.0568024	0.0171443	0.0192047	0.0207651	0.0187501	0.0183169	0.00247961	0.0126772	0.0191289	0.00668766	0.00168516	0.000549399	0.00438577	0.000398688	0.000545279	1.6786e-05	0.000192905	0.000138824	4.53306e-05	1.28551e-05	7.4578e-06	2.86748e-05	6.49624e-06	7.40623e-06	0.0397929	0.0222041	0.938003	0.09847629
2450	-784.3589	-786.9276	2.568638	0.0249802	0.420699	0.208211	0.129405	0.0266997	0.0384843	0.0407208	0.0290267	0.0272303	0.00219081	0.0213724	0.0124426	0.00820278	0.00182586	0.00159568	0.00419321	0.000619153	0.00132827	2.58343e-05	0.000396575	0.000137154	8.80275e-05	2.31871e-05	2.28019e-05	4.29e-05	1.58541e-05	2.06171e-05	0.0594408	0.0201908	0.920368	0.5348349
2500	-782.5368	-785.0543	2.517438	0.022034	0.429226	0.193261	0.124586	0.0238233	0.0357634	0.0371696	0.026173	0.0244475	0.00288721	0.0361618	0.0180123	0.011821	0.0025096	0.0023933	0.00575019	0.000833422	0.00193538	3.60242e-05	0.000668364	0.000201158	0.000127926	3.31706e-05	3.35921e-05	5.97513e-05	2.20836e-05	2.98906e-05	0.0601558	0.00135048	0.938494	0.6068127
2550	-789.5207	-792.2104	2.68966	0.022521	0.345362	0.190577	0.118284	0.02512	0.0356826	0.0457592	0.0313717	0.0268317	0.00663538	0.0498402	0.0358421	0.0250502	0.005493	0.00438886	0.0146903	0.00252871	0.00381733	0.000370772	0.00452195	0.00198019	0.00137983	0.000331002	0.000319991	0.000737515	0.000266697	0.00029633	0.0507928	0.112071	0.837136	0.3991068
2600	-784.6682	-786.6509	1.982672	0.0117432	0.60841	0.197582	0.0647096	0.0122238	0.0146644	0.0154072	0.0132608	0.012877	0.00151269	0.020974	0.0147874	0.00590271	0.00111181	0.000506196	0.00279298	0.000282989	0.000484476	1.7712e-05	0.000441109	0.000171938	6.58669e-05	1.45356e-05	9.44969e-06	2.97202e-05	7.26124e-06	9.23937e-06	0.0397613	0.019619	0.94062	0.213602
2650	-782.3272	-784.7068	2.379566	0.0155527	0.492664	0.249989	0.0929891	0.0164371	0.0217392	0.0233494	0.0183147	0.0172432	0.00198558	0.0162409	0.0171543	0.00820566	0.00139551	0.000690387	0.00449324	0.000355381	0.00063772	1.62862e-05	0.000262895	0.000147227	6.53536e-05	1.29744e-05	9.27424e-06	3.37113e-05	7.02232e-06	8.89922e-06	0.0325203	0.0139093	0.95357	0.2267575
2700	-784.8638	-787.0325	2.168614	0.012058	0.519818	0.211539	0.104711	0.0128185	0.0197568	0.0226204	0.0146035	0.0133234	0.00157886	0.0312291	0.0176222	0.00982136	0.00129587	0.0009526	0.00443448	0.000446106	0.000796357	1.07299e-05	0.00033308	0.000113221	6.11568e-05	9.52223e-06	8.18414e-06	2.50426e-05	5.82366e-06	7.4418e-06	0.0327196	0.0434772	0.923803	0.3721069
2750	-781.1856	-783.7431	2.557444	0.0163811	0.454507	0.212189	0.112218	0.0179112	0.0273507	0.0293201	0.020549	0.0188472	0.00298577	0.0357251	0.0233957	0.0138118	0.00233069	0.00177602	0.0067191	0.000686858	0.00147591	4.88891e-05	0.000963296	0.000368658	0.000207165	4.21767e-05	3.69018e-05	9.38131e-05	2.46317e-05	3.35198e-05	0.0407081	0.0131551	0.946137	0.4158075
2800	-783.1964	-785.6546	2.458235	0.0228693	0.466029	0.212364	0.113231	0.0239283	0.031889	0.0329994	0.025729	0.0245353	0.00193942	0.0179277	0.0113293	0.00670571	0.00150883	0.0010704	0.00337332	0.000476006	0.000951108	3.99161e-05	0.000581001	0.00022399	0.000127695	3.45702e-05	2.80847e-05	6.17134e-05	1.95067e-05	2.64712e-05	0.057549	0.0148258	0.927625	0.4071239
2850	-780.8343	-783.1749	2.340566	0.0181824	0.50436	0.206908	0.0960265	0.0191842	0.0252006	0.0254638	0.02094	0.0200611	0.00248873	0.0256574	0.0167737	0.00886017	0.00186306	0.00116131	0.00431071	0.000518349	0.00105655	2.95982e-05	0.000537153	0.000193872	9.78763e-05	2.47562e-05	2.01578e-05	4.61973e-05	1.45308e-05	1.9205e-05	0.0510453	0.00129874	0.947656	0.3460503
2900	-780.6224	-783.2163	2.59391	0.0238898	0.416312	0.223768	0.110604	0.0255821	0.0343609	0.0348779	0.0284233	0.026886	0.00371584	0.0242817	0.0202701	0.0118588	0.00279953	0.00179934	0.00673541	0.000816608	0.00163169	5.41868e-05	0.000635839	0.000297542	0.000163616	4.55746e-05	3.79227e-05	8.90504e-05	2.75476e-05	3.59955e-05	0.0513169	0.000815537	0.947868	0.3419613
2950	-786.2743	-788.8885	2.614166	0.0161454	0.440888	0.190259	0.109612	0.0176956	0.0276693	0.0288648	0.020493	0.0187082	0.00375678	0.0566239	0.0293894	0.017994	0.00322379	0.00278587	0.00875644	0.00107026	0.00229087	8.90814e-05	0.00218627	0.000641802	0.000378952	8.07639e-05	8.48558e-05	0.000174295	6.12172e-05	7.56348e-05	0.0463197	0.00380148	0.949879	0.5002695
3000	-783.7509	-786.2953	2.54448	0.0212936	0.463172	0.199905	0.100265	0.0224631	0.0292912	0.0300169	0.0248634	0.0236337	0.00350837	0.0336818	0.0207395	0.0118208	0.0028278	0.00189778	0.00624793	0.000946024	0.00174131	5.41003e-05	0.000905481	0.000305997	0.000168858	4.72275e-05	4.2777e-05	8.6321e-05	3.31982e-05	4.07872e-05	0.0589316	0.0135495	0.927519	0.3653154
